Recorded,NO2,NOx,heat_index,rh,pressure,wdir,wdir_cardinal,wspd,station_id
2019-12-06 10:00:00,11.84,18.23,9.0,87.0,992.65,260.0,W,31.0,Gade
2019-12-06 10:30:00,17.29,26.09,9.0,87.0,993.65,260.0,W,33.0,Gade
2019-12-06 11:00:00,21.4,31.8,8.0,93.0,993.65,250.0,WSW,33.0,Gade
2019-12-06 11:30:00,16.03,28.8,8.0,93.0,993.65,250.0,WSW,30.0,Gade
2019-12-06 12:00:00,25.11,38.67,8.0,93.0,993.65,250.0,WSW,24.0,Gade
2019-12-06 12:30:00,23.14,47.6,8.0,100.0,993.65,240.0,WSW,19.0,Gade
2019-12-06 13:00:00,25.84,44.62,9.0,93.0,993.65,230.0,SW,22.0,Gade
2019-12-06 13:30:00,27.64,47.66,9.0,93.0,993.65,230.0,SW,20.0,Gade
2019-12-06 14:00:00,25.97,42.5,9.0,100.0,993.65,230.0,SW,19.0,Gade
2019-12-06 14:30:00,31.42,53.51,9.0,100.0,993.65,230.0,SW,20.0,Gade
2019-12-06 15:00:00,28.73,43.85,10.0,94.0,992.65,220.0,SW,22.0,Gade
2019-12-06 15:30:00,27.64,44.75,10.0,94.0,992.65,220.0,SW,22.0,Gade
2019-12-06 16:00:00,26.68,58.01,10.0,94.0,992.65,220.0,SW,22.0,Gade
2019-12-06 16:30:00,28.96,44.47,10.0,94.0,991.65,220.0,SW,22.0,Gade
2019-12-06 17:00:00,30.91,49.82,9.0,100.0,991.65,210.0,SSW,22.0,Gade
2019-12-06 17:30:00,25.17,40.55,10.0,100.0,990.65,200.0,SSW,17.0,Gade
2019-12-06 18:00:00,29.17,49.09,10.0,100.0,990.65,210.0,SSW,20.0,Gade
2019-12-06 18:30:00,27.55,45.21,10.0,94.0,990.65,210.0,SSW,22.0,Gade
2019-12-06 19:00:00,26.53,41.54,10.0,94.0,990.65,210.0,SSW,22.0,Gade
2019-12-06 19:30:00,20.9,28.88,10.0,94.0,989.65,210.0,SSW,22.0,Gade
2019-12-06 20:00:00,21.4,30.18,10.0,94.0,989.65,210.0,SSW,20.0,Gade
2019-12-06 20:30:00,17.06,23.37,9.0,100.0,989.65,210.0,SSW,22.0,Gade
2019-12-06 21:00:00,22.99,33.79,9.0,100.0,989.65,210.0,SSW,24.0,Gade
2019-12-06 21:30:00,21.25,31.52,9.0,100.0,988.65,200.0,SSW,19.0,Gade
2019-12-06 22:00:00,16.5,25.44,9.0,100.0,988.65,210.0,SSW,22.0,Gade
2019-12-06 22:30:00,14.42,20.83,9.0,100.0,988.65,210.0,SSW,22.0,Gade
2019-12-06 23:00:00,15.74,22.34,9.0,100.0,988.65,210.0,SSW,20.0,Gade
2019-12-06 23:30:00,13.94,18.25,9.0,100.0,988.65,210.0,SSW,24.0,Gade
2019-12-07 00:00:00,8.43,10.23,9.0,100.0,988.65,210.0,SSW,24.0,Gade
2019-12-07 00:30:00,9.08,10.67,9.0,100.0,987.65,220.0,SW,22.0,Gade
2019-12-07 01:00:00,8.41,9.41,9.0,100.0,987.65,230.0,SW,30.0,Gade
2019-12-07 01:30:00,8.13,9.72,9.0,93.0,987.65,240.0,WSW,26.0,Gade
2019-12-07 02:00:00,6.67,7.65,9.0,93.0,987.65,230.0,SW,24.0,Gade
2019-12-07 02:30:00,5.97,7.11,9.0,93.0,987.65,240.0,WSW,24.0,Gade
2019-12-07 03:00:00,5.74,6.5,8.0,100.0,987.65,240.0,WSW,26.0,Gade
2019-12-07 03:30:00,6.02,6.31,8.0,100.0,987.65,240.0,WSW,28.0,Gade
2019-12-07 04:00:00,7.96,8.32,8.0,100.0,987.65,250.0,WSW,24.0,Gade
2019-12-07 04:30:00,5.57,6.22,8.0,100.0,987.65,250.0,WSW,22.0,Gade
2019-12-07 05:00:00,4.09,3.71,8.0,100.0,988.65,270.0,W,17.0,Gade
2019-12-07 05:30:00,7.76,10.75,8.0,100.0,988.65,280.0,W,24.0,Gade
2019-12-07 06:00:00,,,8.0,93.0,988.65,280.0,W,28.0,Gade
2019-12-07 06:30:00,5.62,6.22,7.0,93.0,989.65,280.0,W,28.0,Gade
2019-12-07 07:00:00,4.0,4.15,7.0,87.0,989.65,280.0,W,30.0,Gade
2019-12-07 07:30:00,4.23,4.84,7.0,81.0,990.65,290.0,WNW,28.0,Gade
2019-12-07 08:00:00,5.43,7.32,7.0,81.0,990.65,290.0,WNW,35.0,Gade
2019-12-07 08:30:00,5.01,5.45,7.0,76.0,991.65,280.0,W,39.0,Gade
2019-12-07 09:00:00,6.75,8.03,7.0,76.0,992.65,290.0,WNW,33.0,Gade
2019-12-07 09:30:00,6.98,10.27,7.0,76.0,992.65,290.0,WNW,33.0,Gade
2019-12-07 10:00:00,8.32,11.76,7.0,76.0,993.65,290.0,WNW,33.0,Gade
2019-12-07 10:30:00,8.82,13.12,7.0,76.0,994.65,290.0,WNW,37.0,Gade
2019-12-07 11:00:00,8.84,13.85,7.0,71.0,994.65,280.0,W,41.0,Gade
2019-12-07 11:30:00,9.28,15.28,7.0,71.0,994.65,280.0,W,35.0,Gade
2019-12-07 12:00:00,9.87,15.89,7.0,76.0,995.65,280.0,W,30.0,Gade
2019-12-07 12:30:00,9.6,16.49,7.0,76.0,995.65,280.0,W,30.0,Gade
2019-12-07 13:00:00,9.66,16.85,7.0,76.0,995.65,290.0,WNW,31.0,Gade
2019-12-07 13:30:00,9.16,14.17,7.0,71.0,995.65,280.0,W,31.0,Gade
2019-12-07 14:00:00,9.73,15.03,6.0,76.0,996.65,280.0,W,35.0,Gade
2019-12-07 14:30:00,10.65,16.26,6.0,81.0,996.65,280.0,W,31.0,Gade
2019-12-07 15:00:00,10.52,15.84,6.0,81.0,996.65,280.0,W,31.0,Gade
2019-12-07 15:30:00,9.7,14.25,6.0,81.0,997.65,280.0,W,30.0,Gade
2019-12-07 16:00:00,9.41,13.75,6.0,76.0,997.65,280.0,W,30.0,Gade
2019-12-07 16:30:00,11.57,16.96,6.0,76.0,998.65,280.0,W,30.0,Gade
2019-12-07 17:00:00,12.3,18.07,5.0,81.0,998.65,270.0,W,24.0,Gade
2019-12-07 17:30:00,14.76,20.71,5.0,81.0,998.65,270.0,W,26.0,Gade
2019-12-07 18:00:00,18.11,23.79,5.0,81.0,999.64,270.0,W,22.0,Gade
2019-12-07 18:30:00,9.22,12.57,5.0,81.0,999.64,280.0,W,20.0,Gade
2019-12-07 19:00:00,11.97,14.55,5.0,81.0,999.64,280.0,W,15.0,Gade
2019-12-07 19:30:00,11.07,13.64,5.0,81.0,999.64,290.0,WNW,13.0,Gade
2019-12-07 20:00:00,20.71,26.09,5.0,81.0,1000.64,270.0,W,17.0,Gade
2019-12-07 20:30:00,13.54,16.85,5.0,87.0,999.64,270.0,W,15.0,Gade
2019-12-07 21:00:00,18.03,24.86,4.0,87.0,999.64,270.0,W,13.0,Gade
2019-12-07 21:30:00,19.28,24.27,5.0,87.0,1000.64,250.0,WSW,15.0,Gade
2019-12-07 22:00:00,22.14,37.1,4.0,93.0,1000.64,250.0,WSW,20.0,Gade
2019-12-07 22:30:00,20.92,40.91,4.0,93.0,1000.64,250.0,WSW,17.0,Gade
2019-12-07 23:00:00,32.42,63.09,4.0,93.0,999.64,220.0,SW,13.0,Gade
2019-12-07 23:30:00,30.57,53.37,3.0,93.0,999.64,200.0,SSW,13.0,Gade
2019-12-08 00:00:00,23.34,34.53,4.0,93.0,999.64,200.0,SSW,13.0,Gade
2019-12-08 00:30:00,19.56,41.76,3.0,93.0,999.64,180.0,S,6.0,Gade
2019-12-08 01:00:00,15.71,25.4,4.0,93.0,998.65,190.0,S,6.0,Gade
2019-12-08 01:30:00,12.62,23.14,5.0,93.0,998.65,200.0,SSW,13.0,Gade
2019-12-08 02:00:00,15.57,21.3,5.0,93.0,997.65,190.0,S,15.0,Gade
2019-12-08 02:30:00,14.83,21.86,5.0,93.0,996.65,190.0,S,17.0,Gade
2019-12-08 03:00:00,15.46,24.04,5.0,93.0,995.65,170.0,S,17.0,Gade
2019-12-08 03:30:00,16.53,23.53,5.0,100.0,994.65,170.0,S,19.0,Gade
2019-12-08 04:00:00,,,6.0,93.0,993.65,170.0,S,17.0,Gade
2019-12-08 04:30:00,13.73,22.05,6.0,100.0,992.65,180.0,S,19.0,Gade
2019-12-08 05:00:00,8.93,10.88,6.0,100.0,991.65,170.0,S,17.0,Gade
2019-12-08 05:30:00,8.53,9.77,7.0,100.0,989.65,180.0,S,20.0,Gade
2019-12-08 06:00:00,11.09,14.96,7.0,100.0,988.65,180.0,S,22.0,Gade
2019-12-08 06:30:00,9.91,12.35,8.0,93.0,987.65,190.0,S,30.0,Gade
2019-12-08 07:00:00,7.48,8.61,8.0,93.0,986.65,200.0,SSW,30.0,Gade
2019-12-08 07:30:00,8.22,8.55,8.0,100.0,985.65,210.0,SSW,35.0,Gade
2019-12-08 08:00:00,8.4,10.33,9.0,93.0,984.65,210.0,SSW,41.0,Gade
2019-12-08 08:30:00,7.34,8.34,9.0,93.0,984.65,210.0,SSW,41.0,Gade
2019-12-08 09:00:00,8.03,9.85,9.0,93.0,984.65,210.0,SSW,41.0,Gade
