date,holiday
20191202,0
20191203,0
20191204,0
20191205,0
20191206,0
20191207,1
20191208,1
20191209,0
20191210,0
20191211,0
20191212,0
20191213,0
20191214,1
20191215,1
20191216,0
20191217,0
20191218,0
20191219,0
20191220,0
20191221,1
20191222,1
20191223,0
20191224,2
20191225,2
20191226,2
20191227,0
20191228,1
20191229,1
20191230,0
20191231,2
20200101,2
20200102,0
20200103,0
20200104,1
20200105,1
20200106,2
20200107,0
20200108,0
20200109,0
20200110,0
20200111,1
20200112,1
20200113,0
20200114,0
20200115,0
20200116,0
20200117,0
20200118,1
20200119,1
20200120,0
20200121,0
20200122,0
20200123,0
20200124,0
20200125,1
20200126,1
20200127,0
20200128,0
20200129,0
20200130,0
20200131,0
20200201,1
20200202,1
20200203,0
20200204,0
20200205,0
20200206,0
20200207,0
20200208,1
20200209,1
20200210,0
20200211,0
20200212,0
20200213,0
20200214,2
20200215,1
20200216,1
20200217,0
20200218,0
20200219,0
20200220,0
20200221,0
20200222,1
20200223,2
20200224,0
20200225,0
20200226,0
20200227,0
20200228,0
20200229,1
20200301,1
20200302,0
20200303,0
20200304,0
20200305,0
20200306,0
20200307,1
20200308,1
20200309,0
20200310,0
20200311,0
20200312,0
20200313,0
20200314,0
20200315
20200316
20200317
20200318
20200319
20200320
20200321
20200322
20200323
20200324
20200325
20200326
20200327
20200328
20200329
20200330
20200331
20200401
20200402
20200403
20200404
20200405
20200406
20200407
20200408
20200409
20200410
20200411
20200412
20200413
20200414
20200415
20200416
20200417
20200418
20200419
20200420
20200421
20200422
20200423
20200424
20200425
20200426
20200427
20200428
20200429
20200430
20200501
20200502
20200503
20200504
20200505
20200506
20200507
20200508
20200509
20200510
20200511
20200512
20200513
20200514
20200515
20200516
20200517
20200518
20200519
20200520
20200521
20200522
20200523
20200524
20200525
20200526
20200527
20200528
20200529
20200530
20200531
20200601
20200602
20200603
20200604
20200605
20200606
20200607
20200608
20200609
20200610
20200611
20200612
20200613
20200614
20200615
20200616
20200617
20200618
20200619
20200620
20200621
20200622
20200623
20200624
20200625
20200626
20200627
20200628
20200629
20200630
20200701
20200702
20200703
20200704
20200705
20200706
20200707
20200708
20200709
20200710
20200711
20200712
20200713
20200714
20200715
20200716
20200717
20200718
20200719
20200720
20200721
20200722
20200723
20200724
20200725
20200726
20200727
20200728
20200729
20200730
20200731
20200801
20200802
20200803
20200804
20200805
20200806
20200807
20200808
20200809
20200810
20200811
20200812
20200813
20200814
20200815
20200816
20200817
20200818
20200819
20200820
20200821
20200822
20200823
20200824
20200825
20200826
20200827
20200828
20200829
20200830
20200831
20200901
20200902
20200903
20200904
20200905
20200906
20200907
20200908
20200909
20200910
20200911
20200912
20200913
20200914
20200915
20200916
20200917
20200918
20200919
20200920
20200921
20200922
20200923
20200924
20200925
20200926
20200927
20200928
20200929
20200930
20201001
20201002
20201003
20201004
20201005
20201006
20201007
20201008
20201009
20201010
20201011
20201012
20201013
20201014
20201015
20201016
20201017
20201018
20201019
20201020
20201021
20201022
20201023
20201024
20201025
20201026
20201027
20201028
20201029
20201030
20201031
20201101
20201102
20201103
20201104
20201105
20201106
20201107
20201108
20201109
20201110
20201111
20201112
20201113
20201114
20201115
20201116
20201117
20201118
20201119
20201120
20201121
20201122
20201123
20201124
20201125
20201126
20201127
20201128
20201129
20201130
20201201
20201202
20201203
20201204
20201205
20201206
20201207
20201208
20201209
20201210
20201211
20201212
20201213
20201214
20201215
20201216
20201217
20201218
20201219
20201220
20201221
20201222
20201223
20201224
20201225
20201226
20201227
20201228
20201229
20201230
20201231
20210101
20210102
20210103
20210104
20210105
20210106
20210107
20210108
20210109
20210110
20210111
20210112
20210113
20210114
20210115
20210116
20210117
20210118
20210119
20210120
20210121
20210122
20210123
20210124
20210125
20210126
20210127
20210128
20210129
20210130
20210131
20210201
20210202
20210203
20210204
20210205
20210206
20210207
20210208
20210209
20210210
20210211
20210212
20210213
20210214
20210215
20210216
20210217
20210218
20210219
20210220
20210221
20210222
20210223
20210224
20210225
20210226
20210227
20210228
20210301
20210302
20210303
20210304
20210305
20210306
20210307
20210308
20210309
20210310
20210311
20210312
20210313
20210314
20210315
20210316
20210317
20210318
20210319
20210320
20210321
20210322
20210323
20210324
20210325
20210326
20210327
20210328
20210329
20210330
20210331
20210401
20210402
20210403
20210404
20210405
20210406
20210407
20210408
20210409
20210410
20210411
20210412
20210413
20210414
20210415
20210416
20210417
20210418
20210419
20210420
20210421
20210422
20210423
20210424
20210425
20210426
20210427
20210428
20210429
20210430
20210501
20210502
20210503
20210504
20210505
20210506
20210507
20210508
20210509
20210510
20210511
20210512
20210513
20210514
20210515
20210516
20210517
20210518
20210519
20210520
20210521
20210522
20210523
20210524
20210525
20210526
20210527
20210528
20210529
20210530
20210531

