Recorded,NO2,NOx,CO,SO2
2019-12-06 10:00:00,11.84,18.23,0.12,0.66
2019-12-06 10:30:00,17.29,26.09,0.13,0.72
2019-12-06 11:00:00,21.4,31.8,0.16,0.81
2019-12-06 11:30:00,16.03,28.8,0.13,0.84
2019-12-06 12:00:00,25.11,38.67,0.14,0.87
2019-12-06 12:30:00,23.14,47.6,0.14,1.3
2019-12-06 13:00:00,25.84,44.62,0.17,1.12
2019-12-06 13:30:00,27.64,47.66,0.18,1.24
2019-12-06 14:00:00,25.97,42.5,0.18,1.03
2019-12-06 14:30:00,31.42,53.51,0.23,1.15
2019-12-06 15:00:00,28.73,43.85,0.23,1.15
2019-12-06 15:30:00,27.64,44.75,0.19,1.36
2019-12-06 16:00:00,26.68,58.01,0.21,1.51
2019-12-06 16:30:00,28.96,44.47,0.17,1.06
2019-12-06 17:00:00,30.91,49.82,0.18,1.09
2019-12-06 17:30:00,25.17,40.55,0.17,1.12
2019-12-06 18:00:00,29.17,49.09,0.21,1.18
2019-12-06 18:30:00,27.55,45.21,0.17,1.21
2019-12-06 19:00:00,26.53,41.54,0.2,1.18
2019-12-06 19:30:00,20.9,28.88,0.16,1.0
2019-12-06 20:00:00,21.4,30.18,0.16,1.03
2019-12-06 20:30:00,17.06,23.37,0.16,0.97
2019-12-06 21:00:00,22.99,33.79,0.19,1.06
2019-12-06 21:30:00,21.25,31.52,0.16,1.03
2019-12-06 22:00:00,16.5,25.44,0.18,0.97
2019-12-06 22:30:00,14.42,20.83,0.14,0.91
2019-12-06 23:00:00,15.74,22.34,0.14,0.91
2019-12-06 23:30:00,13.94,18.25,0.11,0.87
2019-12-07 00:00:00,8.43,10.23,0.09,0.84
2019-12-07 00:30:00,9.08,10.67,0.09,0.66
2019-12-07 01:00:00,8.41,9.41,0.11,0.72
2019-12-07 01:30:00,8.13,9.72,0.09,0.76
2019-12-07 02:00:00,6.67,7.65,0.08,0.76
2019-12-07 02:30:00,5.97,7.11,0.08,0.73
2019-12-07 03:00:00,5.74,6.5,0.09,0.79
2019-12-07 03:30:00,6.02,6.31,0.08,0.73
2019-12-07 04:00:00,7.96,8.32,0.08,0.76
2019-12-07 04:30:00,5.57,6.22,0.1,0.73
2019-12-07 05:00:00,4.09,3.71,0.09,0.73
2019-12-07 05:30:00,7.76,10.75,0.08,0.7
2019-12-07 06:30:00,5.62,6.22,0.09,0.63
2019-12-07 07:00:00,4.0,4.15,0.08,0.6
2019-12-07 07:30:00,4.23,4.84,0.09,0.67
2019-12-07 08:00:00,5.43,7.32,0.09,0.6
2019-12-07 08:30:00,5.01,5.45,0.09,0.6
2019-12-07 09:00:00,6.75,8.03,0.09,0.0
2019-12-07 09:30:00,6.98,10.27,0.11,0.31
2019-12-07 10:00:00,8.32,11.76,0.1,0.27
2019-12-07 10:30:00,8.82,13.12,0.1,0.6
2019-12-07 11:00:00,8.84,13.85,0.1,0.63
2019-12-07 11:30:00,9.28,15.28,0.12,0.42
2019-12-07 12:00:00,9.87,15.89,0.09,0.51
2019-12-07 12:30:00,9.6,16.49,0.11,0.6
2019-12-07 13:00:00,9.66,16.85,0.1,0.57
2019-12-07 13:30:00,9.16,14.17,0.1,0.39
2019-12-07 14:00:00,9.73,15.03,0.1,0.6
2019-12-07 14:30:00,10.65,16.26,0.11,0.46
2019-12-07 15:00:00,10.52,15.84,0.11,0.52
2019-12-07 15:30:00,9.7,14.25,0.1,0.46
2019-12-07 16:00:00,9.41,13.75,0.1,0.52
2019-12-07 16:30:00,11.57,16.96,0.1,0.64
2019-12-07 17:00:00,12.3,18.07,0.11,0.58
2019-12-07 17:30:00,14.76,20.71,0.13,0.64
2019-12-07 18:00:00,18.11,23.79,0.11,0.58
2019-12-07 18:30:00,9.22,12.57,0.09,0.49
2019-12-07 19:00:00,11.97,14.55,0.11,0.39
2019-12-07 19:30:00,11.07,13.64,0.09,0.49
2019-12-07 20:00:00,20.71,26.09,0.11,0.52
2019-12-07 20:30:00,13.54,16.85,0.11,0.46
2019-12-07 21:00:00,18.03,24.86,0.12,0.7
2019-12-07 21:30:00,19.28,24.27,0.12,0.73
2019-12-07 22:00:00,22.14,37.1,0.17,0.76
2019-12-07 22:30:00,20.92,40.91,0.14,0.76
2019-12-07 23:00:00,32.42,63.09,0.24,1.07
2019-12-07 23:30:00,30.57,53.37,0.2,0.96
2019-12-08 00:00:00,23.34,34.53,0.24,1.03
2019-12-08 00:30:00,19.56,41.76,0.14,0.97
2019-12-08 01:00:00,15.71,25.4,0.12,0.86
2019-12-08 01:30:00,12.62,23.14,0.13,0.93
2019-12-08 02:00:00,15.57,21.3,0.11,0.88
2019-12-08 02:30:00,14.83,21.86,0.12,0.82
2019-12-08 03:00:00,15.46,24.04,0.1,0.85
2019-12-08 03:30:00,16.53,23.53,0.13,1.09
2019-12-08 04:30:00,13.73,22.05,0.11,0.93
2019-12-08 05:00:00,8.93,10.88,0.13,0.85
2019-12-08 05:30:00,8.53,9.77,0.11,0.85
2019-12-08 06:00:00,11.09,14.96,0.11,0.94
2019-12-08 06:30:00,9.91,12.35,0.11,0.85
2019-12-08 07:00:00,7.48,8.61,0.1,0.79
2019-12-08 07:30:00,8.22,8.55,0.09,0.79
2019-12-08 08:00:00,8.4,10.33,0.09,0.88
2019-12-08 08:30:00,7.34,8.34,0.1,0.79
2019-12-08 09:00:00,8.03,9.85,0.1,0.85
2019-12-08 09:30:00,8.8,11.84,0.11,1.03
2019-12-08 10:00:00,10.52,13.66,0.1,1.0
2019-12-08 10:30:00,9.41,11.21,0.1,0.97
2019-12-08 11:00:00,8.09,10.02,0.1,0.79
2019-12-08 11:30:00,5.57,6.73,0.1,0.64
2019-12-08 12:00:00,6.1,7.36,0.1,0.94
2019-12-08 12:30:00,6.58,8.63,0.1,0.97
2019-12-08 13:00:00,5.95,7.84,0.09,0.94
2019-12-08 13:30:00,6.69,8.85,0.1,0.85
2019-12-08 14:00:00,6.67,8.87,0.09,0.82
2019-12-08 14:30:00,6.75,9.58,0.1,0.94
2019-12-08 15:00:00,6.06,7.98,0.09,0.94
2019-12-08 15:30:00,8.07,11.13,0.09,1.0
2019-12-08 16:00:00,8.47,12.57,0.09,0.94
2019-12-08 16:30:00,10.42,13.66,0.09,1.01
2019-12-08 17:00:00,12.11,17.54,0.09,1.01
2019-12-08 17:30:00,10.37,14.36,0.09,0.92
2019-12-08 18:00:00,11.4,16.26,0.1,0.98
2019-12-08 18:30:00,13.81,19.28,0.1,1.01
2019-12-08 19:00:00,11.59,15.95,0.08,0.94
2019-12-08 19:30:00,9.89,13.69,0.08,0.91
2019-12-08 20:00:00,15.05,20.04,0.09,1.01
2019-12-08 20:30:00,10.27,13.25,0.09,0.97
2019-12-08 21:00:00,17.38,23.29,0.1,1.04
2019-12-08 21:30:00,8.74,10.69,0.09,0.88
2019-12-08 22:00:00,9.37,12.55,0.1,0.94
2019-12-08 22:30:00,13.27,15.41,0.08,0.94
2019-12-08 23:00:00,6.06,6.81,0.09,0.79
2019-12-08 23:30:00,5.43,6.35,0.08,0.76
2019-12-09 00:00:00,3.61,3.42,0.08,0.82
2019-12-09 00:30:00,6.75,8.41,0.08,0.79
2019-12-09 01:00:00,10.31,11.86,0.08,0.85
2019-12-09 01:30:00,6.69,6.92,0.06,0.91
2019-12-09 02:00:00,6.27,6.1,0.06,0.85
2019-12-09 02:30:00,5.83,5.53,0.06,0.79
2019-12-09 03:00:00,7.31,7.84,0.06,0.85
2019-12-09 03:30:00,6.04,6.01,0.05,0.91
2019-12-09 04:00:00,5.3,5.51,0.06,0.85
2019-12-09 04:30:00,5.85,6.22,0.05,0.82
