Recorded,NO2,NOx,O3
2019-12-06 10:00:00,6.43,8.06,69.81
2019-12-06 10:30:00,9.36,11.62,64.26
2019-12-06 11:00:00,10.42,13.22,62.8
2019-12-06 11:30:00,9.28,12.08,64.5
2019-12-06 12:00:00,13.09,17.45,57.96
2019-12-06 12:30:00,11.96,15.97,54.6
2019-12-06 13:00:00,11.84,15.51,56.06
2019-12-06 13:30:00,12.17,15.43,52.31
2019-12-06 14:00:00,13.35,16.91,47.98
2019-12-06 14:30:00,13.68,18.23,42.01
2019-12-06 15:00:00,17.89,17.05,40.39
2019-12-06 15:30:00,14.18,16.97,40.23
2019-12-06 16:00:00,14.1,16.46,43.77
2019-12-06 16:30:00,10.5,13.87,47.6
2019-12-06 17:00:00,11.77,14.88,47.3
2019-12-06 17:30:00,9.41,12.1,50.33
2019-12-06 18:00:00,10.42,13.3,47.42
2019-12-06 18:30:00,9.7,11.97,45.7
2019-12-06 19:00:00,9.65,12.05,42.97
2019-12-06 19:30:00,9.52,11.43,43.29
2019-12-06 20:00:00,8.35,9.89,44.86
2019-12-06 20:30:00,6.93,8.52,47.36
2019-12-06 21:00:00,6.25,7.56,49.43
2019-12-06 21:30:00,5.34,6.86,49.35
2019-12-06 22:00:00,6.72,8.39,48.7
2019-12-06 22:30:00,5.94,7.4,49.59
2019-12-06 23:00:00,5.24,6.44,52.97
2019-12-06 23:30:00,4.41,5.04,55.8
2019-12-07 00:00:00,3.3,4.34,61.35
2019-12-07 00:30:00,3.42,4.88,61.61
2019-12-07 01:00:00,3.42,4.78,61.93
2019-12-07 01:30:00,3.14,3.98,65.24
2019-12-07 02:30:00,2.26,2.86,66.43
2019-12-07 03:00:00,2.23,3.27,67.16
2019-12-07 03:30:00,2.8,3.64,64.75
2019-12-07 04:00:00,3.68,4.75,64.27
2019-12-07 04:30:00,2.67,3.53,69.21
2019-12-07 05:30:00,2.05,3.79,68.65
2019-12-07 06:00:00,1.79,2.49,67.21
2019-12-07 06:30:00,1.86,3.04,66.15
2019-12-07 07:00:00,1.4,2.8,64.96
2019-12-07 07:30:00,1.14,2.21,66.31
2019-12-07 08:00:00,1.09,1.74,69.39
2019-12-07 08:30:00,2.23,3.68,72.23
2019-12-07 09:00:00,2.83,4.15,75.33
2019-12-07 09:30:00,2.75,4.26,77.24
2019-12-07 10:00:00,3.47,5.08,78.87
2019-12-07 10:30:00,3.24,4.98,74.98
2019-12-07 11:00:00,4.27,6.56,70.59
2019-12-07 11:30:00,4.4,6.85,69.75
2019-12-07 12:00:00,4.59,6.41,69.95
2019-12-07 12:30:00,4.26,5.61,70.37
2019-12-07 13:00:00,4.03,5.53,70.63
2019-12-07 13:30:00,4.08,5.04,70.81
2019-12-07 14:00:00,4.39,6.26,70.27
2019-12-07 14:30:00,4.99,6.13,70.27
2019-12-07 15:00:00,4.62,5.97,72.04
2019-12-07 15:30:00,4.44,5.89,72.56
2019-12-07 16:00:00,6.65,7.84,69.33
2019-12-07 16:30:00,7.2,8.18,69.25
2019-12-07 17:00:00,6.25,8.18,70.37
2019-12-07 17:30:00,9.3,11.06,66.22
2019-12-07 18:00:00,8.18,9.76,65.76
2019-12-07 18:30:00,6.55,7.53,67.35
2019-12-07 19:00:00,5.79,7.09,66.74
2019-12-07 19:30:00,5.45,6.7,68.15
2019-12-07 20:00:00,7.38,8.75,63.52
2019-12-07 20:30:00,6.75,8.62,63.22
2019-12-07 21:00:00,8.44,10.05,59.59
2019-12-07 21:30:00,7.94,9.63,56.02
2019-12-07 22:00:00,9.14,11.19,52.27
2019-12-07 22:30:00,8.57,10.64,50.05
2019-12-07 23:00:00,7.74,9.42,49.75
2019-12-07 23:30:00,8.41,9.99,50.13
2019-12-08 00:00:00,8.15,9.84,53.8
2019-12-08 00:30:00,5.35,7.26,55.66
2019-12-08 01:00:00,5.5,6.9,56.5
2019-12-08 01:30:00,5.37,6.85,57.74
2019-12-08 02:00:00,4.96,6.28,58.99
2019-12-08 02:30:00,4.05,5.52,58.99
2019-12-08 03:00:00,4.08,4.85,
2019-12-08 03:30:00,4.0,5.68,56.4
2019-12-08 04:00:00,3.55,5.16,57.8
2019-12-08 04:30:00,3.04,4.27,58.21
2019-12-08 05:00:00,3.14,3.96,58.45
2019-12-08 05:30:00,3.24,4.74,58.85
2019-12-08 06:30:00,3.69,4.58,60.54
2019-12-08 07:00:00,3.07,3.73,64.67
2019-12-08 07:30:00,2.88,4.17,66.31
2019-12-08 08:00:00,3.58,4.43,67.16
2019-12-08 08:30:00,3.3,4.3,69.01
2019-12-08 09:00:00,3.25,4.09,70.31
2019-12-08 09:30:00,3.98,4.5,69.45
2019-12-08 10:00:00,4.31,5.54,67.79
2019-12-08 10:30:00,3.94,5.49,67.57
2019-12-08 11:00:00,4.02,5.41,68.33
2019-12-08 11:30:00,3.24,4.08,72.78
2019-12-08 12:00:00,3.37,5.1,74.12
2019-12-08 12:30:00,3.04,4.24,77.47
2019-12-08 13:00:00,2.62,3.9,79.07
2019-12-08 13:30:00,2.91,3.77,79.21
2019-12-08 14:00:00,3.94,5.46,79.76
2019-12-08 14:30:00,3.53,4.6,80.05
2019-12-08 15:00:00,3.48,4.45,80.62
2019-12-08 15:30:00,5.4,6.52,80.69
2019-12-08 16:00:00,4.07,5.38,80.53
2019-12-08 16:30:00,5.39,7.56,80.82
2019-12-08 17:00:00,5.25,6.26,80.53
2019-12-08 17:30:00,4.57,5.77,81.08
2019-12-08 18:00:00,5.5,6.63,80.72
2019-12-08 18:30:00,6.01,7.36,79.35
2019-12-08 19:00:00,4.76,6.4,80.76
2019-12-08 19:30:00,5.04,6.35,79.94
2019-12-08 20:00:00,4.11,5.52,76.7
2019-12-08 20:30:00,3.19,4.63,75.18
2019-12-08 21:00:00,4.66,5.8,73.3
2019-12-08 21:30:00,4.0,4.76,72.1
2019-12-08 22:00:00,3.12,4.13,71.55
2019-12-08 22:30:00,3.19,4.34,71.68
2019-12-08 23:00:00,2.78,3.74,71.5
2019-12-08 23:30:00,1.84,2.42,72.08
2019-12-09 00:00:00,1.22,1.14,73.59
2019-12-09 00:30:00,1.9,2.29,73.8
2019-12-09 01:00:00,3.17,3.56,
2019-12-09 01:30:00,1.56,2.39,74.23
2019-12-09 02:00:00,1.58,2.47,74.27
2019-12-09 02:30:00,1.53,2.28,73.46
2019-12-09 03:00:00,1.5,2.6,71.49
2019-12-09 03:30:00,1.41,1.32,72.26
2019-12-09 04:30:00,1.74,2.88,69.21
2019-12-09 05:00:00,3.54,3.56,69.14
2019-12-09 05:30:00,4.34,4.47,68.65
2019-12-09 06:00:00,6.92,7.43,67.21
2019-12-09 06:30:00,10.16,12.17,60.54
2019-12-09 07:00:00,13.59,16.88,62.09
2019-12-09 07:30:00,18.24,23.83,62.78
2019-12-09 08:00:00,19.28,24.11,60.21
2019-12-09 08:30:00,15.53,20.13,61.93
2019-12-09 09:00:00,13.12,16.69,63.86
2019-12-09 09:30:00,13.27,17.68,62.17
2019-12-09 10:00:00,14.68,18.23,61.91
2019-12-09 10:30:00,11.28,14.22,66.54
2019-12-09 11:00:00,9.54,11.93,67.71
2019-12-09 11:30:00,6.41,8.86,69.71
2019-12-09 12:00:00,5.61,7.35,69.93
2019-12-09 12:30:00,4.38,6.21,71.61
2019-12-09 13:00:00,4.83,6.73,71.91
2019-12-09 13:30:00,5.06,7.25,71.98
2019-12-09 14:00:00,6.1,8.13,70.99
2019-12-09 14:30:00,6.75,8.65,69.83
2019-12-09 15:00:00,8.26,11.28,67.53
2019-12-09 15:30:00,8.8,12.16,60.55
2019-12-09 16:00:00,6.07,8.75,58.81
2019-12-09 16:30:00,5.06,7.17,61.79
