Recorded,NO2,NOx,O3,heat_index,rh,pressure,wdir,wdir_cardinal,wspd
2019-12-06 10:00:00,6.43,8.06,69.81,9.0,87.0,992.65,260.0,W,31.0
2019-12-06 10:30:00,9.36,11.62,64.26,9.0,87.0,993.65,260.0,W,33.0
2019-12-06 11:00:00,10.42,13.22,62.8,8.0,93.0,993.65,250.0,WSW,33.0
2019-12-06 11:30:00,9.28,12.08,64.5,8.0,93.0,993.65,250.0,WSW,30.0
2019-12-06 12:00:00,13.09,17.45,57.96,8.0,93.0,993.65,250.0,WSW,24.0
2019-12-06 12:30:00,11.96,15.97,54.6,8.0,100.0,993.65,240.0,WSW,19.0
2019-12-06 13:00:00,11.84,15.51,56.06,9.0,93.0,993.65,230.0,SW,22.0
2019-12-06 13:30:00,12.17,15.43,52.31,9.0,93.0,993.65,230.0,SW,20.0
2019-12-06 14:00:00,13.35,16.91,47.98,9.0,100.0,993.65,230.0,SW,19.0
2019-12-06 14:30:00,13.68,18.23,42.01,9.0,100.0,993.65,230.0,SW,20.0
2019-12-06 15:00:00,17.89,17.05,40.39,10.0,94.0,992.65,220.0,SW,22.0
2019-12-06 15:30:00,14.18,16.97,40.23,10.0,94.0,992.65,220.0,SW,22.0
2019-12-06 16:00:00,14.1,16.46,43.77,10.0,94.0,992.65,220.0,SW,22.0
2019-12-06 16:30:00,10.5,13.87,47.6,10.0,94.0,991.65,220.0,SW,22.0
2019-12-06 17:00:00,11.77,14.88,47.3,9.0,100.0,991.65,210.0,SSW,22.0
2019-12-06 17:30:00,9.41,12.1,50.33,10.0,100.0,990.65,200.0,SSW,17.0
2019-12-06 18:00:00,10.42,13.3,47.42,10.0,100.0,990.65,210.0,SSW,20.0
2019-12-06 18:30:00,9.7,11.97,45.7,10.0,94.0,990.65,210.0,SSW,22.0
2019-12-06 19:00:00,9.65,12.05,42.97,10.0,94.0,990.65,210.0,SSW,22.0
2019-12-06 19:30:00,9.52,11.43,43.29,10.0,94.0,989.65,210.0,SSW,22.0
2019-12-06 20:00:00,8.35,9.89,44.86,10.0,94.0,989.65,210.0,SSW,20.0
2019-12-06 20:30:00,6.93,8.52,47.36,9.0,100.0,989.65,210.0,SSW,22.0
2019-12-06 21:00:00,6.25,7.56,49.43,9.0,100.0,989.65,210.0,SSW,24.0
2019-12-06 21:30:00,5.34,6.86,49.35,9.0,100.0,988.65,200.0,SSW,19.0
2019-12-06 22:00:00,6.72,8.39,48.7,9.0,100.0,988.65,210.0,SSW,22.0
2019-12-06 22:30:00,5.94,7.4,49.59,9.0,100.0,988.65,210.0,SSW,22.0
2019-12-06 23:00:00,5.24,6.44,52.97,9.0,100.0,988.65,210.0,SSW,20.0
2019-12-06 23:30:00,4.41,5.04,55.8,9.0,100.0,988.65,210.0,SSW,24.0
2019-12-07 00:00:00,3.3,4.34,61.35,9.0,100.0,988.65,210.0,SSW,24.0
2019-12-07 00:30:00,3.42,4.88,61.61,9.0,100.0,987.65,220.0,SW,22.0
2019-12-07 01:00:00,3.42,4.78,61.93,9.0,100.0,987.65,230.0,SW,30.0
2019-12-07 01:30:00,3.14,3.98,65.24,9.0,93.0,987.65,240.0,WSW,26.0
2019-12-07 02:00:00,2.7,3.42,65.84,9.0,93.0,987.65,230.0,SW,24.0
2019-12-07 02:30:00,2.26,2.86,66.43,9.0,93.0,987.65,240.0,WSW,24.0
2019-12-07 03:00:00,2.23,3.27,67.16,8.0,100.0,987.65,240.0,WSW,26.0
2019-12-07 03:30:00,2.8,3.64,64.75,8.0,100.0,987.65,240.0,WSW,28.0
2019-12-07 04:00:00,3.68,4.75,64.27,8.0,100.0,987.65,250.0,WSW,24.0
2019-12-07 04:30:00,2.67,3.53,69.21,8.0,100.0,987.65,250.0,WSW,22.0
2019-12-07 05:00:00,2.36,3.66,68.93,8.0,100.0,988.65,270.0,W,17.0
2019-12-07 05:30:00,2.05,3.79,68.65,8.0,100.0,988.65,280.0,W,24.0
2019-12-07 06:00:00,1.79,2.49,67.21,8.0,93.0,988.65,280.0,W,28.0
2019-12-07 06:30:00,1.86,3.04,66.15,7.0,93.0,989.65,280.0,W,28.0
2019-12-07 07:00:00,1.4,2.8,64.96,7.0,87.0,989.65,280.0,W,30.0
2019-12-07 07:30:00,1.14,2.21,66.31,7.0,81.0,990.65,290.0,WNW,28.0
