Recorded;CO;NO2;SO2;NOx
15-01-2022 00:00:00;0.09;3.39;0.4;7.34
14-01-2022 23:30:00;0.1;4.19;0.27;8.01
14-01-2022 23:00:00;0.13;10.54;0.32;16.73
14-01-2022 22:30:00;0.13;12.11;0.37;18.97
14-01-2022 22:00:00;0.17;21.34;0.4;33.01
14-01-2022 21:30:00;0.21;38.42;0.88;70.09
14-01-2022 21:00:00;0.16;19.18;0.61;37.91
14-01-2022 20:30:00;0.19;20.77;0.48;37.16
14-01-2022 20:00:00;0.17;18.88;0.53;26.32
14-01-2022 19:30:00;0.19;24.86;0.72;42.78
14-01-2022 19:00:00;0.19;24.35;0.43;37.08
14-01-2022 18:30:00;0.28;35.44;0.75;60.91
14-01-2022 18:00:00;0.21;27.39;0.72;43.99
14-01-2022 17:30:00;0.23;27.46;0.4;44.66
14-01-2022 17:00:00;0.2;22.59;0.32;36.49
14-01-2022 16:30:00;0.21;25.17;0.48;42.78
14-01-2022 16:00:00;0.22;27.88;0.53;49.88
14-01-2022 15:30:00;0.19;29.66;0.51;51.39
14-01-2022 15:00:00;0.17;23.52;0.51;45.88
14-01-2022 14:30:00;0.2;23.01;0.51;43.55
14-01-2022 14:00:00;0.17;25.4;0.56;46.05
14-01-2022 13:30:00;0.16;22.13;0.53;42.63
14-01-2022 13:00:00;0.14;19.03;0.48;36.15
14-01-2022 12:30:00;0.15;13.25;0.35;25.23
14-01-2022 12:00:00;0.15;17.06;0.43;32.38
14-01-2022 11:30:00;0.15;22.17;0.32;39.38
14-01-2022 11:00:00;0.14;14.46;0.19;25.15
14-01-2022 10:30:00;0.14;13.58;0.4;27.21
14-01-2022 10:00:00;0.14;11.36;0.21;22.7
14-01-2022 09:30:00;0.15;10.33;0.32;19.18
14-01-2022 09:00:00;0.14;11.99;0.32;21.23
14-01-2022 08:30:00;0.14;13.56;0.27;25.02
14-01-2022 08:00:00;0.15;9.08;0.21;18.67
14-01-2022 07:30:00;0.17;11.32;0.32;22.74
14-01-2022 07:00:00;0.16;7.76;0.16;16.43
14-01-2022 06:30:00;0.16;6.69;0.16;13.71
14-01-2022 06:00:00;0.15;5.22;0.21;11.17
14-01-2022 05:30:00;0.16;2.12;0.21;5.43
14-01-2022 04:30:00;0.15;0.98;0.21;2.79
14-01-2022 04:00:00;0.14;0.86;0.16;0.86
14-01-2022 03:30:00;0.14;0.65;0.0;1.42
14-01-2022 03:00:00;0.14;0.52;0.11;0.96
14-01-2022 02:30:00;0.14;0.63;0.13;1.45
14-01-2022 02:00:00;0.14;1.05;0.03;1.13
14-01-2022 01:30:00;0.13;1.51;0.11;1.57
14-01-2022 01:00:00;0.14;2.1;0.19;1.82
14-01-2022 00:30:00;0.14;1.01;0.11;0.69
14-01-2022 00:00:00;0.13;2.05;0.0;2.47
13-01-2022 23:30:00;0.13;2.05;0.0;3.17
13-01-2022 23:00:00;0.13;2.6;0.16;4.04
13-01-2022 22:30:00;0.14;3.25;0.19;5.32
13-01-2022 22:00:00;0.14;3.16;0.11;5.3
13-01-2022 21:30:00;0.14;2.81;0.08;4.17
13-01-2022 21:00:00;0.14;3.21;0.21;5.49
13-01-2022 20:30:00;0.14;3.08;0.11;4.84
13-01-2022 20:00:00;0.14;3.82;0.16;6.25
13-01-2022 19:30:00;0.14;4.26;0.19;7.44
13-01-2022 19:00:00;0.14;4.4;0.27;7.9
13-01-2022 18:30:00;0.15;5.72;0.24;8.93
13-01-2022 18:00:00;0.15;3.94;0.19;8.17
13-01-2022 17:30:00;0.15;4.42;0.11;7.98
13-01-2022 17:00:00;0.15;6.39;0.05;11.38
