Recorded;NO2;NOx;O3
07-03-2022 12:30:00;11.88;17.77;56.78
07-03-2022 12:00:00;15.47;23.39;54.56
07-03-2022 11:30:00;7.9;11.25;69.61
07-03-2022 11:00:00;8.89;12.76;67.22
07-03-2022 10:30:00;6.96;9.64;69.91
07-03-2022 10:00:00;22.19;34.06;49.49
07-03-2022 09:30:00;29.49;50.51;32.69
07-03-2022 09:00:00;45.94;94.13;18.9
07-03-2022 08:30:00;53.49;116.64;12.63
07-03-2022 08:00:00;54.6;115.86;9.8
07-03-2022 07:30:00;52.86;99.43;7.96
07-03-2022 07:00:00;40.53;55.02;15.13
07-03-2022 06:30:00;39.86;47.77;14.03
07-03-2022 06:00:00;25.28;26.79;28.02
07-03-2022 05:30:00;15.22;15.53;35.38
07-03-2022 04:30:00;9.22;9.83;42.79
07-03-2022 04:00:00;7.86;8.3;46.66
07-03-2022 03:30:00;8.11;8.03;49.57
07-03-2022 03:00:00;8.97;9.35;49.73
07-03-2022 02:30:00;10.06;10.52;46.42
07-03-2022 02:00:00;11.48;11.91;
07-03-2022 01:30:00;14.55;15.11;42.27
07-03-2022 01:00:00;16.72;17.08;41.87
07-03-2022 00:30:00;18.86;19.07;44.16
07-03-2022 00:00:00;27.04;27.69;33.53
06-03-2022 23:30:00;29.01;29.51;32.05
06-03-2022 23:00:00;16.18;16.37;55.02
06-03-2022 22:30:00;23.01;23.43;49.95
06-03-2022 22:00:00;26.83;27.48;44.72
06-03-2022 21:30:00;34.62;35.38;33.89
06-03-2022 21:00:00;38.48;39.36;30.53
06-03-2022 20:30:00;30.08;30.96;43.31
06-03-2022 20:00:00;20.54;21.21;56.72
06-03-2022 19:30:00;18.9;19.66;59.45
06-03-2022 19:00:00;16.96;17.54;62.65
06-03-2022 18:30:00;18.47;19.05;63.42
06-03-2022 18:00:00;14.57;15.22;67.79
06-03-2022 17:30:00;9.56;10.52;73.78
06-03-2022 17:00:00;3.79;4.3;81.15
06-03-2022 16:30:00;7.08;8.26;77.87
06-03-2022 16:00:00;7.63;9.28;76.81
06-03-2022 15:30:00;8.19;10.4;76.36
06-03-2022 15:00:00;6.5;8.7;77.33
06-03-2022 14:30:00;4.09;5.62;81.84
06-03-2022 14:00:00;4.19;5.43;80.27
06-03-2022 13:30:00;5.05;6.98;78.73
06-03-2022 13:00:00;5.6;8.22;76.91
06-03-2022 12:30:00;6.08;8.61;75.18
06-03-2022 12:00:00;5.91;8.41;74.7
06-03-2022 11:30:00;5.11;7.29;75.06
06-03-2022 11:00:00;4.59;6.69;75.0
06-03-2022 10:30:00;8.41;12.13;69.33
06-03-2022 10:00:00;5.64;7.25;73.16
06-03-2022 09:30:00;9.35;13.06;58.23
06-03-2022 09:00:00;9.6;12.97;54.7
06-03-2022 08:30:00;10.23;12.91;56.0
06-03-2022 08:00:00;18.99;23.52;36.78
06-03-2022 07:30:00;17.14;19.47;37.2
06-03-2022 07:00:00;18.51;19.97;34.63
06-03-2022 06:30:00;10.88;11.25;43.77
06-03-2022 06:00:00;9.47;9.22;47.16
06-03-2022 05:30:00;7.13;7.36;49.49
06-03-2022 05:00:00;6.79;7.08;50.27
06-03-2022 04:30:00;5.43;5.83;53.66
06-03-2022 03:30:00;5.78;5.74;60.35
06-03-2022 03:00:00;7.21;7.36;55.46
06-03-2022 02:30:00;7.78;7.88;53.21
06-03-2022 02:00:00;9.14;9.29;53.96
06-03-2022 01:30:00;12.28;12.7;46.44
06-03-2022 01:00:00;14.61;15.09;
06-03-2022 00:30:00;15.28;15.78;42.93
06-03-2022 00:00:00;15.99;16.1;42.57
05-03-2022 23:30:00;20.79;20.85;40.01
05-03-2022 23:00:00;24.65;25.09;37.52
05-03-2022 22:30:00;22.22;22.74;42.15
05-03-2022 22:00:00;27.14;28.11;39.2
05-03-2022 21:30:00;28.09;28.71;40.19
05-03-2022 21:00:00;37.14;38.21;33.55
05-03-2022 20:30:00;39.0;40.28;32.43
05-03-2022 20:00:00;39.97;41.12;32.95
05-03-2022 19:30:00;31.17;32.03;44.05
05-03-2022 19:00:00;16.73;17.33;62.66
05-03-2022 18:30:00;12.45;12.83;68.77
05-03-2022 18:00:00;10.23;10.08;74.12
05-03-2022 17:30:00;7.82;7.96;75.82
05-03-2022 17:00:00;7.48;8.19;75.5
05-03-2022 16:30:00;5.53;6.48;77.23
05-03-2022 16:00:00;6.25;7.32;76.56
05-03-2022 15:30:00;5.49;6.66;77.09
05-03-2022 15:00:00;5.93;7.13;76.61
05-03-2022 14:30:00;6.27;8.3;75.44
05-03-2022 14:00:00;5.16;6.79;76.28
05-03-2022 13:30:00;5.51;6.83;76.22
05-03-2022 13:00:00;5.39;6.46;77.49
05-03-2022 12:30:00;8.05;10.04;75.1
05-03-2022 12:00:00;6.41;7.76;76.83
05-03-2022 11:30:00;7.13;8.74;75.8
05-03-2022 11:00:00;6.58;8.34;76.38
05-03-2022 10:30:00;7.02;9.49;74.44
05-03-2022 10:00:00;9.77;13.18;69.81
05-03-2022 09:30:00;13.08;17.61;62.23
05-03-2022 09:00:00;16.35;21.69;55.18
05-03-2022 08:30:00;23.37;30.85;43.15
05-03-2022 08:00:00;25.09;31.75;35.82
05-03-2022 07:30:00;13.16;14.15;51.45
05-03-2022 07:00:00;11.74;12.09;51.39
