Real_NO2,Real_NOx
8.66,12.14
10.77,16.12
10.56,16.24
9.77,14.76
10.02,15.76
8.57,13.27
9.87,14.48
10.96,16.47
8.76,13.31
12.34,18.4
11.25,17.61
9.58,15.53
8.26,12.41
9.96,15.17
8.76,13.16
7.92,10.88
8.36,12.24
7.48,12.01
6.35,8.78
6.16,7.67
6.04,8.07
4.76,7.5
4.4,6.43
4.61,5.76
5.7,8.43
4.32,6.23
5.07,5.24
5.6,5.87
5.76,6.06
2.54,3.4
2.95,2.58
2.31,2.12
2.33,1.87
2.83,3.29
2.37,3.06
5.81,6.04
5.79,5.87
3.52,3.54
3.0,3.94
5.28,8.64
7.34,11.4
9.39,14.15
10.25,15.74
11.38,17.71
10.69,15.3
10.94,15.64
11.93,19.64
10.35,14.78
12.79,21.21
11.17,18.51
12.34,20.29
10.42,18.42
11.99,19.81
9.29,17.35
12.87,22.3
10.61,18.34
13.94,25.97
8.97,15.93
13.31,22.74
11.67,19.76
14.38,23.28
14.32,25.23
20.41,33.43
13.41,21.08
14.84,19.99
16.2,22.61
12.3,19.16
9.85,16.06
11.78,17.81
9.33,13.43
9.87,15.51
8.51,12.18
10.5,15.13
8.17,10.86
8.53,12.01
5.74,7.57
3.77,4.46
4.0,4.93
2.47,2.18
3.88,5.89
2.6,3.35
3.67,4.7
2.1,2.43
4.76,5.47
4.2,4.89
3.63,4.32
8.85,10.37
11.02,14.29
13.71,24.44
15.28,23.1
15.28,23.54
17.1,30.49
20.88,32.13
19.58,29.51
19.79,31.21
21.53,38.08
25.63,46.59
20.08,37.48
20.41,37.5
19.99,35.5
20.22,34.21
13.64,25.0
14.15,25.86
14.54,25.46
16.43,26.72
17.63,27.25
23.45,37.05
15.66,24.06
12.78,18.7
15.97,23.79
20.22,29.26
19.49,30.06
18.61,25.63
17.82,25.24
11.21,15.36
10.61,15.89
9.18,12.53
10.73,15.26
7.65,10.6
8.74,13.5
8.41,12.07
7.67,12.16
6.6,10.35
7.99,11.48
7.0,9.33
5.78,9.01
6.75,7.8
6.22,7.29
4.07,5.45
5.43,8.82
3.54,4.11
3.6,3.88
3.35,4.15
3.81,4.7
3.35,3.88
2.89,3.06
3.67,4.92
5.41,6.98
5.22,6.58
4.93,6.56
4.67,6.04
6.69,9.2
9.72,14.04
13.79,20.02
13.25,18.25
13.0,18.76
14.23,19.95
14.4,23.5
13.6,22.57
13.12,20.1
11.23,18.49
12.45,19.7
12.24,20.54
13.92,23.83
11.15,18.61
11.61,18.74
9.03,13.44
11.15,18.13
12.49,17.63
13.87,19.12
12.37,17.1
10.96,16.87
11.09,15.87
8.41,12.87
7.25,10.94
6.45,9.22
6.64,11.53
5.14,9.05
3.67,6.39
4.17,7.29
6.45,10.88
5.68,9.05
5.47,9.37
4.48,6.9
3.27,6.43
3.56,6.37
3.27,4.67
4.26,5.53
3.84,4.99
4.26,5.47
3.23,5.16
2.3,3.52
2.7,3.81
3.21,5.41
2.82,4.69
2.43,3.96
2.58,4.61
4.09,5.57
4.32,4.95
4.74,5.89
5.09,6.67
6.2,7.82
6.31,9.28
11.42,16.03
34.18,72.35
28.5,55.75
31.04,62.63
30.69,60.0
20.12,89.25
29.57,52.57
24.5,39.05
27.83,41.08
16.94,23.89
18.49,24.56
18.99,25.61
24.0,33.83
29.91,48.29
27.27,38.61
20.43,27.46
19.2,26.56
26.88,45.44
23.79,44.73
22.03,29.3
20.73,26.76
23.12,30.73
15.76,20.39
12.89,16.96
9.31,11.46
12.72,15.49
5.91,8.17
2.6,4.21
3.31,4.72
4.53,5.3
3.12,4.34
3.0,4.08
2.87,3.82
2.47,3.77
3.79,4.42
6.02,7.52
8.26,10.61
10.84,13.04
18.84,26.66
31.19,67.85
45.73,77.76
34.36,58.27
40.66,81.87
51.49,94.08
53.89,133.16
41.5,77.83
41.25,102.14
34.76,79.49
34.29,87.32
34.18,84.91
38.21,95.4
31.04,61.85
30.69,62.52
35.13,81.23
34.78,81.45
35.12,87.72
23.94,77.88
33.41,58.12
38.44,104.21
38.89,112.36
37.58,106.87
38.16,96.37
34.14,83.41
35.86,76.48
38.0,67.14
38.07,75.92
32.8,56.55
36.44,77.08
29.52,50.0
40.91,76.64
31.81,53.34
32.57,59.9
34.18,64.88
32.42,63.09
30.57,53.37
23.34,34.53
19.56,41.76
15.71,25.4
12.62,23.14
15.57,21.3
14.83,21.86
15.46,24.04
16.53,23.53
19.64,41.42
22.77,56.36
28.9,74.03
35.04,91.69
41.92,67.85
45.73,145.72
47.53,116.86
55.42,103.56
48.25,147.16
32.78,88.73
41.5,77.83
41.25,102.14
34.76,106.38
34.29,87.32
34.18,84.91
38.21,96.24
31.04,87.48
33.87,114.13
35.13,89.25
34.78,112.48
35.12,107.13
37.8,98.72
38.35,108.51
38.44,104.21
33.99,77.69
32.78,60.15
31.09,66.75
33.56,68.12
35.86,76.48
38.0,67.14
38.07,75.92
32.8,56.55
36.44,77.08
29.52,50.0
37.51,76.64
31.81,53.34
22.14,41.12
14.78,22.8
29.38,37.08
27.53,48.4
23.34,34.53
19.56,23.86
15.71,25.4
11.3,12.3
15.57,21.3
11.36,21.86
12.69,13.98
16.53,23.53
19.64,25.11
22.77,39.43
25.83,55.51
35.04,88.26
39.84,92.21
44.63,96.16
47.53,116.86
55.42,103.56
51.17,155.62
53.89,138.48
41.5,101.68
41.25,102.14
34.76,106.38
34.29,87.32
34.18,84.91
38.21,96.24
31.04,87.48
33.87,114.13
35.13,89.25
34.78,112.48
35.12,107.13
37.8,98.72
38.35,108.51
38.44,104.21
31.65,112.36
37.58,106.87
38.16,77.11
34.14,83.41
35.86,76.48
38.0,67.14
38.07,75.92
32.8,56.55
24.38,40.81
22.01,33.66
21.55,32.74
21.25,36.3
22.14,34.86
20.92,44.53
19.57,37.08
11.38,15.47
7.92,10.04
11.46,16.03
10.84,15.64
8.3,9.91
7.27,9.52
6.73,18.24
10.96,13.83
13.96,18.4
17.46,23.28
20.96,28.17
22.53,30.01
27.54,55.33
31.19,67.85
36.47,92.01
34.36,93.61
37.14,97.16
33.14,94.08
32.78,88.73
41.5,101.68
30.05,102.14
34.76,106.38
34.29,87.32
34.18,84.91
36.02,96.24
31.04,87.48
33.87,114.13
35.13,89.25
31.65,78.49
35.12,84.51
34.05,77.65
31.96,65.08
34.14,73.57
31.82,70.0
33.17,65.01
38.16,77.11
34.14,83.41
35.86,66.74
38.0,67.14
26.88,50.09
23.79,42.73
24.38,52.42
24.09,39.51
22.3,31.25
20.0,31.29
15.74,22.59
12.83,17.08
10.92,17.21
8.07,11.02
6.16,8.47
6.43,8.3
6.52,7.4
5.45,5.99
5.28,5.55
4.86,5.53
4.67,5.26
5.99,6.67
6.83,8.26
7.06,7.44
5.29,6.57
3.52,5.7
4.32,7.88
4.4,10.1
3.94,8.7
6.98,15.51
7.96,15.09
16.7,28.48
10.25,20.79
9.12,21.15
14.21,33.56
16.2,37.79
17.16,38.36
18.93,44.89
28.27,60.19
21.55,55.88
28.99,71.3
30.68,70.05
35.12,81.13
37.8,90.28
38.35,84.32
21.06,33.68
18.42,25.61
13.9,20.12
13.02,17.67
11.44,16.73
12.83,18.49
10.1,12.79
7.5,10.48
6.33,7.98
7.15,8.84
7.44,11.32
6.96,8.76
7.21,9.68
6.35,8.45
5.45,8.3
6.22,8.32
6.37,10.6
5.62,9.31
4.57,7.65
3.42,5.07
2.28,3.81
2.91,3.94
4.51,5.3
3.23,3.98
1.97,2.31
7.84,14.02
8.85,13.06
6.62,7.32
7.21,7.63
21.08,30.57
34.96,53.51
47.53,79.12
30.75,47.81
51.49,94.08
32.78,88.73
41.5,101.68
21.5,29.62
10.94,16.14
8.07,11.8
9.16,14.32
8.97,14.0
11.49,18.9
11.0,17.02
14.19,24.38
11.69,18.93
9.81,14.82
11.4,17.94
15.61,23.43
10.94,16.35
11.9,16.29
12.34,16.18
10.94,16.37
11.21,15.2
11.04,15.82
11.72,17.5
13.1,20.1
13.12,18.82
9.58,13.56
10.69,15.07
17.54,38.5
31.81,53.34
32.57,59.9
34.18,64.88
32.42,63.09
27.53,29.83
23.34,34.53
19.56,41.76
15.71,25.4
12.62,23.14
15.57,21.3
14.83,21.86
15.46,24.04
