Real_NO2,Real_NOx
21.19,37.27
19.32,37.58
19.28,32.99
15.82,24.5
16.39,24.63
27.54,42.53
33.99,58.14
37.58,66.73
31.09,53.09
34.14,52.98
27.43,47.51
15.17,21.65
11.8,14.96
6.85,9.33
4.65,5.55
3.84,4.8
3.37,4.17
2.66,3.39
2.68,3.63
1.72,1.63
1.57,1.45
1.49,1.11
1.03,0.8
1.17,0.48
0.86,0.48
0.69,0.88
0.98,0.77
0.5,0.75
0.9,0.0
1.43,1.34
2.3,3.07
3.17,4.8
6.64,9.64
4.8,6.46
7.52,12.18
9.83,15.72
16.33,25.03
13.81,23.89
11.17,19.68
8.82,15.47
12.39,22.11
10.96,18.82
11.7,21.78
8.82,18.86
11.26,21.9
11.67,21.92
10.46,21.36
12.81,20.67
8.74,16.39
8.43,15.72
7.9,14.92
10.31,20.25
9.72,17.17
10.25,16.98
11.76,20.18
9.01,14.46
11.65,19.03
8.91,13.67
8.51,11.69
10.98,17.6
7.71,11.02
11.23,16.7
7.71,10.46
7.38,11.21
13.67,22.17
7.08,9.49
6.31,7.57
5.43,7.31
4.57,5.68
4.69,5.66
3.69,3.88
2.77,2.47
3.56,3.69
3.46,3.25
2.14,2.01
2.47,1.93
2.94,2.66
3.42,3.4
6.52,7.71
8.97,12.11
18.26,30.19
27.54,48.27
41.92,67.85
38.66,84.09
47.53,93.61
52.38,103.56
51.49,94.08
53.89,88.73
41.5,101.68
39.39,71.95
30.98,56.51
20.27,38.1
14.13,35.65
28.92,51.12
21.92,37.14
33.87,66.17
29.2,68.51
34.78,56.95
28.78,61.62
24.04,41.81
5.3,37.24
16.45,31.31
17.86,30.81
19.26,40.76
38.16,72.54
29.17,46.65
24.08,35.71
21.55,31.4
23.94,41.71
20.52,25.82
20.5,26.07
23.22,30.91
24.42,48.77
21.25,32.61
32.57,59.9
34.18,64.88
32.42,63.09
15.58,48.4
14.34,19.26
8.7,11.13
11.65,13.73
9.56,11.8
8.8,11.48
11.36,14.88
12.69,16.72
16.53,23.53
19.64,41.42
22.77,39.43
34.87,73.06
35.04,91.69
26.98,62.31
18.93,32.93
47.53,116.86
55.42,212.63
32.55,72.01
19.11,35.0
19.03,35.8
24.98,45.06
14.59,26.64
12.28,22.26
11.95,20.58
18.42,30.7
21.92,42.0
12.01,21.4
17.23,28.3
11.25,18.55
12.57,24.84
13.0,25.72
12.39,21.73
12.58,21.84
13.1,20.39
9.6,15.19
8.63,12.09
9.89,13.04
20.67,33.26
23.72,35.08
20.58,28.73
19.79,29.49
24.38,47.93
29.52,50.0
24.42,51.37
21.13,34.04
20.67,33.77
11.84,20.44
5.85,6.45
2.79,3.98
1.42,0.69
1.43,1.09
1.7,1.13
1.63,1.01
2.16,1.8
1.2,0.0
0.73,0.0
2.39,1.64
3.14,4.55
3.88,7.46
3.5,6.54
6.96,12.09
8.3,14.44
9.54,18.46
8.34,15.99
8.2,16.26
8.57,14.15
7.92,15.7
10.02,18.55
12.47,22.2
10.1,18.53
8.05,15.76
6.6,14.08
10.37,19.91
6.85,15.01
9.73,18.84
9.96,19.83
6.5,12.93
9.22,16.85
10.08,17.29
11.36,19.01
10.37,19.34
10.58,19.76
13.75,23.14
13.56,23.85
13.5,20.25
13.48,20.87
7.31,13.14
8.01,13.83
9.18,14.8
6.52,10.6
7.99,13.6
8.38,14.21
5.57,8.32
4.55,7.75
3.42,5.89
2.39,4.11
2.37,4.8
2.08,3.19
1.53,2.66
1.76,2.33
1.74,3.14
1.15,2.62
1.15,2.85
1.64,4.04
1.53,3.67
2.6,3.73
4.82,5.64
5.78,9.24
6.73,12.83
4.82,9.45
8.55,15.97
11.84,22.4
14.17,27.64
15.82,28.04
11.88,22.32
11.53,20.04
11.61,20.12
11.49,20.16
11.74,22.41
10.52,20.39
11.17,21.02
18.36,30.89
12.81,23.62
18.25,35.08
15.05,28.04
19.07,39.28
34.05,62.9
31.31,70.42
21.52,36.68
20.75,38.84
20.87,35.3
15.84,29.7
10.5,20.29
10.08,20.62
8.45,14.38
12.58,20.41
8.24,12.34
6.14,10.86
5.05,10.1
11.13,19.58
6.43,11.46
12.53,22.95
6.2,9.91
6.79,9.54
5.62,12.62
3.46,6.06
3.35,5.68
1.34,2.33
1.22,2.51
2.39,2.72
1.3,2.47
1.05,1.82
1.38,1.45
1.24,1.45
1.91,2.81
1.2,1.99
2.28,4.05
2.74,3.67
3.21,3.29
2.52,1.2
3.35,3.48
4.23,4.7
4.88,4.88
5.16,6.43
4.67,6.16
5.47,7.04
6.12,8.64
5.64,7.4
4.74,6.1
5.95,8.57
6.67,8.68
5.93,7.61
7.15,9.77
6.02,7.36
5.49,7.23
7.27,9.83
6.75,9.68
6.33,8.03
8.47,10.63
9.31,12.99
10.52,13.22
8.07,9.89
11.49,14.04
9.08,11.76
11.23,13.71
18.28,28.11
12.76,16.73
6.48,6.83
7.55,9.39
8.93,12.72
7.1,9.79
6.22,7.0
6.04,6.62
6.48,6.85
5.6,5.6
5.26,5.36
4.51,4.95
4.55,4.19
4.07,4.02
3.9,3.23
3.48,3.4
3.16,3.78
2.83,4.15
4.84,5.66
5.47,6.56
4.44,5.14
4.55,6.25
4.04,6.08
4.67,6.64
5.85,8.22
5.93,9.03
7.36,11.53
6.04,9.68
8.17,11.46
7.04,10.88
7.25,11.82
7.61,13.1
8.55,15.28
8.95,16.31
9.58,15.01
10.17,16.35
14.29,23.06
8.34,12.47
10.54,16.75
13.92,19.87
17.69,26.55
26.97,39.24
27.12,45.96
18.78,24.1
24.88,34.44
27.55,49.13
38.07,75.92
32.8,56.55
36.44,77.08
29.52,50.0
40.91,76.64
31.81,53.34
32.57,59.9
34.18,64.88
32.42,37.08
30.57,29.83
23.34,34.53
19.56,23.86
15.71,25.4
12.62,23.14
15.57,21.3
14.83,21.86
15.46,19.72
16.53,21.06
19.64,41.42
22.77,56.36
28.9,74.03
35.04,91.69
41.92,122.67
45.73,145.72
47.53,116.86
55.42,103.56
33.14,147.16
53.89,138.48
41.5,101.68
41.25,102.14
34.76,106.38
34.29,87.32
34.18,84.91
38.21,96.24
31.04,87.48
21.17,114.13
35.13,89.25
31.65,105.34
35.12,107.13
37.8,98.72
29.38,92.78
33.51,88.78
31.71,73.86
37.58,83.5
38.16,94.44
21.15,49.82
14.38,29.2
17.75,40.68
16.26,28.55
10.0,25.51
9.52,28.42
8.51,21.17
20.1,37.58
6.85,15.19
3.35,15.78
8.11,15.19
4.95,8.28
1.8,13.1
5.7,7.11
5.81,6.6
5.92,7.2
6.04,7.8
6.52,8.41
7.11,9.81
7.13,8.78
10.6,13.64
19.64,39.43
19.22,35.55
25.83,55.51
35.04,91.69
33.0,93.92
30.96,96.16
34.36,116.86
28.27,96.89
51.49,94.08
31.94,88.73
29.77,77.83
30.05,78.21
34.76,79.49
30.33,87.32
30.91,84.91
38.21,96.24
31.04,87.48
33.87,107.41
35.13,89.25
31.21,83.56
28.8,87.72
29.78,90.28
32.8,90.19
31.5,104.21
31.84,88.21
33.17,106.87
31.09,96.37
34.14,83.41
26.11,66.74
27.02,57.81
21.02,75.92
23.45,47.74
24.38,51.87
24.09,50.0
18.55,46.38
19.99,36.45
17.48,31.8
9.94,11.42
5.41,5.34
4.05,4.13
4.15,3.65
3.48,2.51
3.71,2.56
3.73,3.52
2.98,1.74
3.25,2.64
3.27,2.2
4.11,4.0
4.58,6.13
5.05,8.26
7.92,14.78
7.9,14.8
9.05,18.53
8.74,15.64
6.9,12.22
6.92,12.68
6.69,13.1
8.8,15.26
13.14,23.45
7.98,16.12
8.78,16.98
8.01,14.29
9.08,16.03
9.75,17.98
8.15,14.02
8.7,15.53
7.88,16.05
10.73,19.16
10.88,20.23
12.57,24.23
7.8,15.22
7.06,14.08
8.36,13.64
9.07,15.7
11.67,18.86
7.48,11.46
7.42,11.55
5.89,9.01
9.16,13.83
12.35,17.84
13.85,20.88
10.14,19.37
8.36,15.47
7.27,12.91
6.37,10.67
6.94,11.65
4.28,6.9
4.76,8.57
2.2,3.84
1.93,2.26
2.01,2.6
1.45,2.26
1.61,2.66
2.07,3.1
3.23,4.65
5.99,8.51
4.57,6.27
17.71,28.67
22.62,38.6
27.54,48.52
31.19,58.6
24.04,44.66
16.2,32.49
17.84,32.93
19.97,31.59
30.26,51.85
27.65,45.88
23.31,37.68
17.56,32.44
17.33,30.52
14.84,28.48
16.89,34.21
11.63,24.81
9.54,19.22
18.59,34.96
15.66,30.64
12.41,29.03
13.43,27.62
11.78,22.93
8.89,17.33
7.67,15.8
6.77,14.42
7.13,15.3
5.91,11.42
7.48,15.63
8.74,15.78
7.34,14.17
5.57,9.94
6.39,12.35
4.21,8.97
4.4,9.03
4.11,8.05
2.45,6.83
1.49,4.4
1.07,2.47
0.23,2.22
0.78,1.76
0.54,1.68
0.5,2.18
0.21,1.07
0.13,1.13
0.36,1.4
0.21,1.36
0.48,1.8
1.93,3.42
3.46,6.41
9.81,15.45
11.0,18.86
11.9,19.69
12.79,20.52
9.37,17.61
14.96,22.99
13.6,26.56
13.08,20.98
11.84,22.2
13.16,25.78
10.44,18.46
24.02,33.97
9.49,19.6
12.45,25.91
17.02,31.52
4.78,30.7
13.39,27.75
12.85,24.88
22.22,38.8
15.45,30.85
14.27,25.99
13.44,25.21
8.3,15.49
8.47,18.51
20.08,33.72
10.08,18.34
10.4,18.95
9.64,17.29
6.56,14.06
4.93,8.38
5.2,9.26
6.54,13.44
7.78,16.06
5.07,13.88
5.39,9.6
2.87,5.18
1.95,3.79
2.45,3.92
1.82,3.19
2.75,4.09
1.17,2.05
1.22,3.19
0.71,2.07
0.84,1.76
1.09,2.49
1.8,2.98
2.61,3.54
3.42,4.11
5.43,6.41
9.77,12.91
8.64,11.49
10.42,15.8
8.97,10.54
9.96,12.85
12.37,18.49
10.04,13.6
15.28,23.62
12.16,19.85
11.7,18.0
14.06,22.38
10.27,16.87
11.25,18.32
10.17,14.86
8.91,14.38
10.02,15.64
10.0,15.57
14.76,23.18
13.06,18.4
15.09,19.97
15.64,22.57
15.53,20.33
16.58,21.59
18.99,25.84
15.17,19.95
10.38,14.75
10.14,12.97
15.55,20.6
32.14,50.38
36.44,52.42
29.52,50.0
24.42,52.28
30.31,42.68
22.14,49.17
20.92,44.53
19.57,35.32
15.58,29.83
23.34,34.53
14.25,23.86
15.71,25.4
12.62,23.14
10.48,14.71
11.36,17.82
12.69,18.84
9.24,13.48
7.29,9.68
7.15,9.87
9.14,12.71
11.13,15.55
12.79,17.63
17.92,30.98
12.79,18.9
17.94,27.56
19.7,30.33
24.04,38.86
29.77,61.26
18.42,33.41
22.82,46.61
25.03,42.15
23.5,43.09
19.56,34.9
20.46,34.46
25.46,41.62
20.29,34.2
20.87,32.17
23.26,33.56
21.96,31.33
25.63,37.06
26.6,42.38
33.99,56.67
37.58,72.41
38.16,77.11
34.14,72.72
35.86,76.48
27.55,51.66
26.88,54.91
23.79,43.72
34.24,52.42
29.52,50.0
40.91,76.64
31.81,53.34
32.57,49.17
20.92,35.82
17.46,23.1
15.58,23.52
21.1,24.15
14.25,19.16
15.71,18.97
12.62,17.48
8.68,9.47
14.14,15.59
10.98,12.99
12.97,16.03
10.61,13.73
22.77,38.12
25.83,73.06
35.04,91.69
40.33,113.99
45.62,136.29
47.53,116.86
40.66,103.56
33.14,94.08
32.78,88.73
29.77,77.82
30.05,78.21
34.76,79.49
29.74,64.74
27.65,57.38
24.96,46.4
27.41,57.24
33.87,78.93
35.13,89.25
31.65,74.38
35.12,74.84
37.8,90.28
38.35,86.02
37.83,79.2
38.89,82.22
37.58,83.5
38.16,77.11
34.14,69.27
29.94,52.94
27.55,50.43
26.88,54.14
23.79,42.0
24.38,52.42
24.09,41.0
24.42,52.28
14.08,42.65
16.93,25.88
6.62,7.8
5.36,6.58
5.45,6.46
4.11,3.63
4.4,5.03
4.34,4.04
3.44,3.37
3.24,2.74
3.04,2.12
3.08,2.79
13.96,16.29
15.16,19.74
16.37,23.18
22.62,35.88
22.82,36.41
31.19,67.85
34.42,67.38
27.33,46.59
28.8,51.24
26.24,45.88
24.63,44.16
29.77,56.0
26.89,48.6
20.06,41.6
14.25,27.02
11.36,20.08
12.43,22.05
9.7,16.64
9.7,17.38
10.82,19.55
11.65,22.38
27.39,47.76
29.3,49.38
22.59,36.59
19.18,31.14
31.65,52.46
33.17,62.29
24.23,39.76
26.74,46.91
35.86,66.74
27.55,45.8
37.78,55.72
32.8,56.55
24.38,52.42
24.09,47.1
24.42,50.85
21.25,41.94
18.32,33.85
9.85,21.08
10.31,15.87
8.85,13.08
3.35,3.06
2.39,2.73
3.69,4.48
2.08,2.89
1.76,1.15
2.49,1.89
2.98,3.12
6.75,7.31
5.16,6.48
6.5,7.65
8.06,12.18
9.62,16.72
12.55,21.17
11.65,21.21
10.37,16.5
9.03,15.3
6.52,10.21
6.1,10.16
6.96,10.81
6.08,10.33
7.94,12.6
7.99,13.08
9.05,14.19
8.76,13.77
5.14,10.94
7.42,12.13
7.54,13.08
8.15,14.25
9.18,15.87
9.51,16.03
9.29,13.75
10.21,16.16
9.62,14.71
9.77,15.36
9.29,13.37
8.7,10.75
8.26,11.02
7.36,9.22
7.44,10.67
8.99,12.2
6.96,8.99
9.94,13.22
12.11,15.38
6.92,9.05
5.26,7.04
4.86,5.74
2.95,3.6
4.02,3.88
2.79,2.1
2.24,1.64
2.62,2.2
2.16,1.15
2.43,2.03
2.49,2.01
3.08,2.87
7.06,7.73
3.63,4.4
7.65,11.3
19.05,28.96
18.93,32.76
25.51,44.97
32.09,57.18
28.23,51.69
25.24,40.39
19.85,32.15
16.26,25.49
13.33,22.99
16.7,25.95
17.23,27.02
15.82,24.75
17.0,26.66
13.62,21.96
15.11,22.66
16.49,27.96
15.59,26.66
23.03,40.47
35.12,74.22
33.64,64.97
38.35,104.55
38.44,83.38
38.89,112.36
37.58,106.87
38.16,77.11
34.14,83.41
35.86,76.48
38.0,67.14
37.78,75.92
32.14,56.55
24.38,52.42
29.52,50.0
23.54,39.78
21.25,42.68
22.14,42.06
15.99,29.2
12.76,23.89
30.57,53.37
12.95,19.2
11.05,13.48
11.67,13.18
12.62,15.66
14.47,18.61
11.36,15.61
12.35,16.43
11.17,14.04
10.27,26.74
9.37,39.43
25.83,55.51
34.24,62.83
31.19,67.85
45.73,96.16
47.53,116.86
40.66,103.56
48.25,94.08
32.78,88.73
39.03,101.68
41.25,102.14
30.98,79.49
34.29,87.32
31.65,84.91
29.07,81.64
31.04,87.48
29.53,80.98
35.13,89.25
34.78,112.48
35.12,107.13
37.8,98.72
38.35,108.51
38.44,81.64
38.83,88.13
37.58,83.5
31.09,69.73
26.01,58.16
28.44,54.58
26.47,47.24
25.72,49.71
21.63,41.85
24.38,50.62
21.11,47.1
24.42,45.56
21.25,53.34
22.14,42.48
20.92,41.77
19.2,32.3
15.58,29.83
12.01,21.19
10.86,23.86
15.71,25.4
12.62,23.14
15.46,21.3
11.36,21.86
15.46,24.04
13.08,19.62
13.69,20.04
20.37,28.34
20.42,29.84
20.48,31.33
31.19,54.35
30.18,52.27
46.37,87.46
40.66,91.9
33.14,94.08
26.58,55.39
25.44,66.48
30.05,70.63
25.17,53.74
16.87,46.55
16.79,50.55
17.56,47.87
25.95,63.0
29.22,65.06
21.75,54.01
17.52,43.49
16.22,46.45
20.71,37.56
17.75,38.98
29.18,66.67
28.5,88.21
26.43,48.41
18.49,35.82
20.88,36.55
15.84,50.36
21.06,37.06
19.41,29.38
15.87,26.2
20.62,32.65
18.72,30.29
16.98,34.35
19.7,35.04
22.14,49.17
20.92,44.27
15.41,28.61
15.58,24.42
14.34,24.72
14.25,23.86
12.23,25.4
12.62,17.79
9.85,12.28
10.54,13.27
10.9,14.32
6.52,8.51
7.13,7.34
7.38,7.29
7.25,6.52
10.65,15.01
10.89,15.86
11.13,16.7
8.24,17.52
11.34,16.16
16.22,24.96
19.79,31.12
28.46,50.68
29.3,55.14
30.98,61.35
22.66,42.53
34.18,84.91
24.35,48.12
10.82,55.31
21.63,44.1
25.19,51.24
17.75,38.52
19.78,43.05
18.55,45.38
19.07,39.32
12.74,39.07
14.54,34.86
18.55,37.75
17.21,46.03
15.66,37.77
15.03,33.76
9.81,19.93
14.92,25.0
23.7,34.9
9.54,20.98
10.31,18.61
10.71,18.95
9.51,18.13
9.87,13.79
9.35,17.06
9.52,15.09
9.29,14.8
9.26,10.17
8.19,9.73
6.45,7.42
5.34,5.24
4.95,5.64
5.55,6.04
5.99,5.66
7.84,9.14
8.0,9.36
8.17,9.58
14.38,18.42
27.54,49.5
41.92,67.85
45.73,96.16
47.53,116.86
40.66,103.56
51.49,94.08
53.89,88.73
41.5,77.83
41.25,78.21
34.76,79.49
34.29,87.32
29.51,63.84
29.07,66.13
27.75,62.73
29.26,64.97
18.05,70.82
30.54,62.08
35.12,81.26
18.34,68.62
38.35,108.51
38.44,82.7
31.12,66.29
30.71,71.13
30.43,69.25
30.41,59.25
27.27,53.09
21.9,43.85
23.31,43.7
22.7,37.96
24.38,42.5
18.28,35.73
18.23,50.3
19.35,33.11
22.14,41.69
20.92,40.37
18.59,34.04
12.85,26.93
8.34,11.86
5.87,9.83
4.32,5.32
4.44,5.58
5.58,8.4
5.14,6.33
6.34,7.81
7.54,9.29
6.18,7.78
7.54,10.04
10.79,16.39
14.04,22.74
24.86,45.88
36.01,74.8
34.36,93.61
36.45,96.08
33.14,92.34
32.78,87.75
29.77,101.68
41.25,102.14
34.76,79.49
34.29,87.32
34.18,84.91
29.07,75.83
31.04,87.48
20.88,80.98
35.13,89.25
34.78,83.56
35.12,107.13
30.54,98.72
38.35,108.51
38.44,104.21
38.89,112.36
37.58,106.87
38.16,96.37
34.14,83.41
35.86,76.48
38.0,67.14
38.07,75.92
32.8,56.55
36.44,77.08
29.52,50.0
40.91,76.64
31.81,53.34
32.57,59.9
31.03,44.53
19.57,37.08
15.58,20.41
13.96,15.64
14.0,18.76
15.71,25.4
12.62,17.79
15.57,21.3
11.36,13.79
8.99,9.24
13.96,20.44
19.64,25.11
22.77,56.36
25.83,55.51
27.54,66.4
36.64,106.06
45.73,145.72
46.37,116.86
55.42,212.63
51.49,155.62
32.78,88.73
41.5,101.68
41.25,102.14
34.76,106.38
26.74,79.15
23.41,44.62
21.46,49.07
22.45,43.41
20.02,39.86
22.87,42.9
17.02,32.32
22.45,39.86
28.02,49.59
34.84,67.19
35.34,61.24
38.89,88.21
37.58,106.87
38.16,77.11
34.14,83.41
35.86,76.48
38.0,67.14
38.07,75.92
32.8,56.55
36.44,77.08
29.52,50.0
40.91,76.64
31.81,53.34
32.57,59.9
31.03,44.53
19.57,58.75
15.58,29.83
23.34,34.53
19.56,41.76
15.71,25.4
12.62,17.79
11.33,15.89
11.36,13.67
11.63,14.15
12.13,14.84
17.45,35.44
22.77,56.05
25.83,73.06
35.04,91.69
41.92,122.67
38.52,96.16
47.53,116.86
52.38,212.63
51.49,155.62
53.89,138.48
39.03,101.68
41.25,102.14
34.76,106.38
30.33,87.32
34.18,84.91
38.21,96.24
31.04,87.48
28.48,114.13
27.67,89.25
34.78,105.34
32.51,102.62
37.8,98.72
26.07,77.82
38.44,104.21
38.89,112.36
33.17,106.87
31.09,77.11
30.63,72.72
29.94,66.74
27.55,52.77
35.21,75.92
23.1,34.06
21.06,30.89
23.03,34.02
24.42,42.0
18.46,35.44
16.16,23.52
13.77,21.73
18.74,34.92
7.06,10.84
5.03,6.01
4.36,5.87
2.2,1.61
1.95,1.36
2.33,2.87
3.14,3.25
4.17,4.59
3.92,3.6
4.11,3.81
6.83,8.61
6.9,9.94
6.96,11.28
9.41,15.38
11.55,22.32
9.93,17.14
14.71,24.79
14.34,24.1
15.36,24.1
16.05,27.81
17.71,31.02
19.7,35.88
17.25,34.65
9.47,20.41
10.38,19.07
11.49,19.55
8.91,13.31
7.46,12.26
8.07,14.04
11.11,16.39
10.86,17.61
13.37,23.6
12.2,21.06
10.38,15.93
10.71,17.81
9.05,14.57
11.25,18.19
9.52,15.05
9.94,15.8
11.09,18.61
11.3,18.21
7.55,11.42
8.93,13.52
6.29,10.71
5.93,9.73
8.78,16.52
5.7,8.43
6.33,9.31
4.48,6.27
2.35,2.68
2.33,3.52
2.07,2.64
1.38,2.18
1.63,2.28
0.94,2.24
1.7,1.61
2.87,2.83
2.68,2.47
1.19,0.92
1.45,1.57
1.34,1.24
1.83,2.42
2.31,3.61
2.35,2.28
2.87,3.96
3.98,3.98
4.46,5.7
4.61,5.79
6.29,9.39
6.79,8.91
7.76,11.88
7.59,10.75
8.99,12.07
9.91,13.77
13.75,20.6
10.9,15.51
9.35,13.88
10.08,15.43
9.1,12.49
11.82,17.98
13.79,20.67
10.19,15.45
12.43,18.61
12.18,20.96
12.2,17.56
14.84,20.25
15.97,22.17
15.64,28.94
12.28,17.88
12.05,18.86
10.02,14.84
7.71,11.17
15.03,22.82
22.14,48.1
