Real_NO2,Real_NOx,Real_O3
11.17,12.81,44.88
9.89,11.67,44.07
9.96,11.84,43.31
8.64,9.62,44.62
10.46,12.22,43.83
10.06,12.47,44.01
8.82,10.92,43.21
10.38,12.6,41.57
13.38,17.73,38.6
11.69,12.91,46.54
11.07,12.09,52.49
9.96,10.69,54.8
10.31,11.36,53.05
10.04,11.04,54.14
10.16,10.84,55.44
9.83,9.96,57.38
9.26,9.72,57.46
7.4,7.46,59.07
6.41,6.64,60.55
5.26,5.45,62.19
3.82,4.15,62.92
3.73,3.67,62.41
2.98,2.73,63.42
3.17,3.39,61.79
3.69,3.75,59.83
5.01,5.24,57.78
3.69,3.61,58.79
4.57,4.57,56.68
5.43,5.39,54.08
4.78,4.72,54.98
6.33,6.35,54.9
5.03,5.13,54.82
4.05,4.05,57.04
3.94,3.9,56.76
3.54,3.27,57.88
3.42,3.02,57.3
3.22,3.07,58.38
3.02,3.12,59.47
2.43,2.37,60.85
2.12,2.14,60.8
3.46,3.27,62.23
4.65,4.49,60.54
3.84,4.02,60.99
4.11,3.96,59.85
4.72,4.72,58.31
5.07,5.2,57.22
6.41,7.02,54.26
7.34,7.8,53.23
9.05,9.91,52.67
9.24,10.79,52.85
8.43,9.87,54.46
10.4,12.53,53.37
8.49,10.35,55.7
6.96,8.19,58.65
5.72,6.33,61.23
7.04,8.13,60.97
7.5,8.99,61.75
6.67,7.65,63.14
6.31,6.88,63.74
5.89,6.41,65.02
4.95,5.05,67.04
5.05,4.99,66.68
5.95,6.35,66.88
5.51,5.51,67.51
5.28,5.32,67.45
4.21,4.11,69.65
4.95,5.07,68.05
4.65,4.57,68.25
4.88,5.07,67.08
3.54,3.67,70.15
2.85,2.66,72.44
1.8,1.51,72.1
1.86,1.87,71.55
1.99,1.91,69.37
2.7,2.6,66.2
2.79,2.93,64.78
2.31,2.41,63.9
2.35,2.39,62.7
1.24,1.2,62.8
1.13,1.11,62.59
1.82,1.59,61.67
2.51,2.33,60.75
2.54,2.68,60.97
2.31,2.31,62.23
1.43,1.2,64.27
1.82,1.8,62.78
1.42,1.48,65.0
1.03,1.17,67.23
1.78,1.63,67.21
1.57,1.49,66.15
1.72,1.76,64.96
2.91,2.93,66.31
2.39,2.35,67.22
2.6,2.26,68.93
2.3,2.52,68.83
2.87,3.12,67.69
3.56,4.07,68.45
4.46,5.09,69.45
3.77,4.13,68.17
4.02,4.74,66.38
3.1,3.6,70.11
3.12,3.81,70.79
3.54,3.86,71.21
5.64,6.54,67.63
5.32,6.39,67.49
5.39,5.85,67.93
6.37,6.64,65.26
10.33,10.96,58.85
9.75,10.46,57.56
10.69,11.53,55.94
11.63,12.37,55.0
11.82,12.34,58.0
9.2,9.79,60.81
7.96,8.26,62.13
8.03,8.38,62.61
10.31,10.35,61.39
10.29,11.13,61.77
9.43,9.89,61.13
8.8,8.97,61.25
9.05,9.28,60.63
6.94,7.02,64.66
6.79,6.88,63.84
6.87,6.64,64.94
3.17,2.77,68.84
1.74,1.76,68.11
2.47,2.37,68.43
2.56,2.51,68.3
2.31,2.24,66.89
1.72,1.76,67.58
1.45,1.15,66.43
1.53,1.45,65.32
2.07,2.28,64.22
