Real_NO2,Real_NOx,Real_O3
9.26,12.09,32.93
9.49,11.65,34.27
8.13,9.66,36.66
8.13,9.37,39.24
8.63,9.91,37.06
9.31,9.89,35.56
12.09,12.95,32.55
11.76,12.55,31.41
12.76,13.87,29.34
14.19,14.8,27.44
14.42,15.15,26.56
12.34,12.2,28.2
10.19,10.23,29.2
8.84,8.81,30.7
7.5,7.39,32.19
6.15,5.98,33.69
4.81,4.56,35.18
3.46,3.14,36.68
3.23,2.87,36.88
2.22,1.64,37.08
2.35,1.95,36.26
1.8,1.42,37.92
2.08,1.57,35.86
2.28,1.64,35.68
1.61,1.24,36.05
1.63,1.13,36.42
1.63,0.78,38.9
1.7,1.11,39.08
4.05,3.5,36.96
5.37,4.72,35.1
5.16,5.17,35.45
4.95,5.62,35.8
4.93,5.74,37.96
4.17,4.97,39.69
5.36,6.23,38.22
7.71,8.72,36.5
10.4,11.51,33.49
7.25,8.53,34.9
4.84,6.04,40.09
4.05,5.6,40.91
4.72,6.18,40.41
5.43,7.11,40.25
4.82,6.33,41.49
4.63,6.29,42.23
4.26,6.16,39.57
4.04,5.81,40.15
3.48,4.82,43.09
3.42,5.14,45.6
3.21,4.36,46.96
2.58,3.63,47.98
2.95,4.13,48.7
3.14,4.04,47.76
3.02,3.63,47.12
3.27,4.02,46.62
3.21,3.86,46.1
2.77,2.91,46.82
3.31,3.46,46.38
2.54,2.49,46.94
2.81,3.17,46.62
3.14,3.35,46.04
3.29,3.42,45.9
3.33,3.48,45.38
2.68,3.02,45.52
2.31,2.39,45.42
2.31,2.41,45.2
1.99,1.74,45.08
1.82,1.78,44.84
1.61,1.89,43.83
1.26,1.49,43.83
1.43,1.57,42.81
1.57,1.8,42.21
1.93,2.33,40.71
2.64,2.56,40.61
2.79,2.81,41.11
1.64,1.64,41.85
1.05,1.34,42.59
1.74,1.76,43.27
2.1,2.18,42.61
2.35,2.6,42.23
4.92,4.86,39.18
8.43,8.65,36.39
11.95,12.45,33.59
17.11,18.74,29.5
25.22,34.32,16.92
32.72,42.67,15.93
38.61,33.53,16.13
33.12,30.73,16.84
18.0,31.66,25.21
16.21,23.41,27.38
15.3,20.2,31.75
10.52,14.54,35.18
4.8,6.52,41.39
4.51,6.23,40.21
3.29,4.44,40.49
2.93,3.98,43.01
2.68,3.39,44.26
3.48,4.59,44.03
3.04,3.92,44.16
3.65,4.93,44.48
4.15,5.45,42.67
4.28,5.6,42.75
4.82,6.06,41.57
3.84,4.02,42.19
7.17,8.01,38.9
9.18,9.91,37.42
12.11,12.66,35.08
12.35,13.31,33.29
13.77,14.46,33.09
12.22,12.87,33.35
12.97,13.79,31.79
12.02,12.76,31.19
11.91,14.13,30.29
11.88,14.09,22.47
11.17,12.32,23.57
11.15,12.2,20.5
10.45,11.83,19.18
10.25,11.54,20.72
10.28,10.9,22.79
8.47,8.36,24.87
7.11,7.42,25.37
7.1,7.3,24.95
7.08,7.19,23.51
6.43,6.69,22.91
6.67,6.87,21.73
6.9,6.96,21.88
6.04,6.14,22.03
8.3,8.59,21.41
10.11,10.69,19.04
13.66,15.52,14.41
18.54,22.32,13.39
21.88,28.32,7.42
25.22,34.32,1.44
32.72,42.67,2.99
39.11,65.07,5.99
33.12,30.73,9.4
