Data opsamlet af Aarhus Universitet, Institut for Miljoevidenskab <br> Data er kvalitetskontrolleret til 1. april 2021. Data efter denne dato er ikke manuelt kontrolleret og kan indeholde fejl <br>For yderligere information se https://envs.au.dk/faglige-omraader/luftforurening-udledninger-og-effekter/luftforurening/ eller kontakt Thomas Ellermann tel@envs.au.dk <br> <br>Gasser: NO2: Kvælstofdioxid µg/m<sup>3</sup>, NOx: Kvælstofoxider µg/m<sup>3</sup>, O3: Ozon µg/m<sup>3</sup>
Data fra Aalborg Tag
Recorded;NOx;CO;SO2;PM_2.5_Lvs;NO2;comment
15-01-2021 00:00:00;12,18;0,21;-0,67;9,44;7,63;Data er manuelt kontrolleret
14-01-2021 23:30:00;19,89;0,24;-0,49;;11,11;Data er manuelt kontrolleret
14-01-2021 23:00:00;39,38;0,29;-0,41;;17,5;Data er manuelt kontrolleret
14-01-2021 22:30:00;52,29;0,33;-0,49;;17,69;Data er manuelt kontrolleret
14-01-2021 22:00:00;42,4;0,3;-0,73;;19,3;Data er manuelt kontrolleret
14-01-2021 21:30:00;51,22;0,31;-0,64;;24,59;Data er manuelt kontrolleret
14-01-2021 21:00:00;69,1;0,34;-0,67;;30,26;Data er manuelt kontrolleret
14-01-2021 20:30:00;33,09;0,26;-0,41;;16,91;Data er manuelt kontrolleret
14-01-2021 20:00:00;24;0,23;0,06;;15,63;Data er manuelt kontrolleret
14-01-2021 19:30:00;25,9;0,24;-0,46;;14,78;Data er manuelt kontrolleret
14-01-2021 19:00:00;79,81;0,35;0,03;;34,58;Data er manuelt kontrolleret
14-01-2021 18:30:00;75,89;0,29;-0,46;;28,42;Data er manuelt kontrolleret
14-01-2021 18:00:00;116,72;0,34;-0,23;;42,04;Data er manuelt kontrolleret
14-01-2021 17:30:00;114,64;0,35;-0,2;;45,52;Data er manuelt kontrolleret
14-01-2021 17:00:00;172,87;0,43;-0,03;;62,84;Data er manuelt kontrolleret
14-01-2021 16:30:00;194,9;0,37;0,15;;55;Data er manuelt kontrolleret
