Recorded;CO;NO2;SO2;NOx;PM_2.5_Lvs;comment
15-01-2021 00:00:00;0.21;7.63;-0.67;12.18;9.44;Data er manuelt kontrolleret
14-01-2021 23:30:00;0.24;11.11;-0.49;19.89;;Data er manuelt kontrolleret
14-01-2021 23:00:00;0.29;17.5;-0.41;39.38;;Data er manuelt kontrolleret
14-01-2021 22:30:00;0.33;17.69;-0.49;52.29;;Data er manuelt kontrolleret
14-01-2021 22:00:00;0.3;19.3;-0.73;42.4;;Data er manuelt kontrolleret
14-01-2021 21:30:00;0.31;24.59;-0.64;51.22;;Data er manuelt kontrolleret
14-01-2021 21:00:00;0.34;30.26;-0.67;69.1;;Data er manuelt kontrolleret
14-01-2021 20:30:00;0.26;16.91;-0.41;33.09;;Data er manuelt kontrolleret
14-01-2021 20:00:00;0.23;15.63;0.06;24;;Data er manuelt kontrolleret
14-01-2021 19:30:00;0.24;14.78;-0.46;25.9;;Data er manuelt kontrolleret
14-01-2021 19:00:00;0.35;34.58;0.03;79.81;;Data er manuelt kontrolleret
14-01-2021 18:30:00;0.29;28.42;-0.46;75.89;;Data er manuelt kontrolleret
14-01-2021 18:00:00;0.34;42.04;-0.23;116.72;;Data er manuelt kontrolleret
14-01-2021 17:30:00;0.35;45.52;-0.2;114.64;;Data er manuelt kontrolleret
14-01-2021 17:00:00;0.43;62.84;-0.03;172.87;;Data er manuelt kontrolleret
14-01-2021 16:30:00;0.37;55;0.15;194.9;;Data er manuelt kontrolleret
14-01-2021 16:00:00;0.4;50.8;0.2;183.47;;Data er manuelt kontrolleret
14-01-2021 15:30:00;0.49;67.95;0.29;227.84;;Data er manuelt kontrolleret
14-01-2021 15:00:00;0.42;58.83;0.35;197.71;;Data er manuelt kontrolleret
14-01-2021 14:30:00;0.42;64.32;0.35;196.91;;Data er manuelt kontrolleret
14-01-2021 14:00:00;0.44;28.42;0.12;182.03;;Data er manuelt kontrolleret
14-01-2021 13:30:00;0.38;53.99;0.09;176.81;;Data er manuelt kontrolleret
14-01-2021 13:00:00;0.35;36.57;0.09;138.2;;Data er manuelt kontrolleret
14-01-2021 12:30:00;0.33;43.3;-1.25;132.96;;Data er manuelt kontrolleret
14-01-2021 12:00:00;0.37;12.6;-1.02;162.83;;Data er manuelt kontrolleret
14-01-2021 11:30:00;0.31;38.25;-0.61;106.24;;Data er manuelt kontrolleret
14-01-2021 11:00:00;0.29;34.31;-0.38;114.2;;Data er manuelt kontrolleret
14-01-2021 10:30:00;0.4;37.85;0.32;135.41;;Data er manuelt kontrolleret
14-01-2021 10:00:00;0.33;49.44;0.46;162.93;;Data er manuelt kontrolleret
14-01-2021 09:30:00;0.38;40.81;0.09;132.96;;Data er manuelt kontrolleret
14-01-2021 09:00:00;0.33;41.41;-0.2;126.55;;Data er manuelt kontrolleret
14-01-2021 08:30:00;0.29;51.2;-0.09;130.8;;Data er manuelt kontrolleret
14-01-2021 08:00:00;0.35;36.91;-0.09;123.99;;Data er manuelt kontrolleret
14-01-2021 07:30:00;0.4;50.41;-0.06;183.93;;Data er manuelt kontrolleret
14-01-2021 07:00:00;0.34;44.7;0.12;132.77;;Data er manuelt kontrolleret
