Data opsamlet af Aarhus Universitet, Institut for Miljoevidenskab <br> Data er kvalitetskontrolleret til 1. april 2021. Data efter denne dato er ikke manuelt kontrolleret og kan indeholde fejl <br>For yderligere information se https://envs.au.dk/faglige-omraader/luftforurening-udledninger-og-effekter/luftforurening/ eller kontakt Thomas Ellermann tel@envs.au.dk <br> <br>Gasser: NO2: Kvælstofdioxid µg/m<sup>3</sup>, NOx: Kvælstofoxider µg/m<sup>3</sup>, O3: Ozon µg/m<sup>3</sup>
Data fra Aalborg Tag
Recorded;NO2;O3;NOx;PM_2.5_Lvs
15-01-2021 00:00:00;3,88;52,79;3,86;6,8;Data er manuelt kontrolleret
14-01-2021 23:30:00;3,1;52,95;3,65;;Data er manuelt kontrolleret
14-01-2021 23:00:00;3,4;51,27;2,98;;Data er manuelt kontrolleret
14-01-2021 22:30:00;3,48;50,83;3,65;;Data er manuelt kontrolleret
14-01-2021 22:00:00;4,48;49,77;4,55;;Data er manuelt kontrolleret
14-01-2021 21:30:00;4,36;50,71;4,48;;Data er manuelt kontrolleret
14-01-2021 21:00:00;4,63;51,41;5,05;;Data er manuelt kontrolleret
14-01-2021 20:30:00;4,02;52,51;4,4;;Data er manuelt kontrolleret
14-01-2021 20:00:00;3,88;52,57;3,94;;Data er manuelt kontrolleret
14-01-2021 19:30:00;4,88;52,69;5,34;;Data er manuelt kontrolleret
14-01-2021 19:00:00;3,61;55,16;3,6;;Data er manuelt kontrolleret
14-01-2021 18:30:00;5,53;53,9;5,6;;Data er manuelt kontrolleret
14-01-2021 18:00:00;5,01;53,82;5,91;;Data er manuelt kontrolleret
14-01-2021 17:30:00;6,48;51,09;7,46;;Data er manuelt kontrolleret
14-01-2021 17:00:00;7,1;48,68;7,57;;Data er manuelt kontrolleret
14-01-2021 16:30:00;10,19;46,64;11,82;;Data er manuelt kontrolleret
14-01-2021 16:00:00;8,4;47,1;9,49;;Data er manuelt kontrolleret
14-01-2021 15:30:00;9,49;45,02;10,69;;Data er manuelt kontrolleret
14-01-2021 15:00:00;10,04;43,71;11,19;;Data er manuelt kontrolleret
14-01-2021 14:30:00;9,14;44,86;11;;Data er manuelt kontrolleret
14-01-2021 14:00:00;7,65;47,3;9,03;;Data er manuelt kontrolleret
14-01-2021 13:30:00;7,1;47,14;8,84;;Data er manuelt kontrolleret
14-01-2021 13:00:00;7,38;46,42;8,4;;Data er manuelt kontrolleret
14-01-2021 12:30:00;7,57;45,32;9,05;;Data er manuelt kontrolleret
