Recorded;NO2;NOx;O3;PM_2.5_Lvs;comment
15-01-2021 00:00:00;3.88;3.86;52.79;6.8;Data er manuelt kontrolleret
14-01-2021 23:30:00;3.1;3.65;52.95;;Data er manuelt kontrolleret
14-01-2021 23:00:00;3.4;2.98;51.27;;Data er manuelt kontrolleret
14-01-2021 22:30:00;3.48;3.65;50.83;;Data er manuelt kontrolleret
14-01-2021 22:00:00;4.48;4.55;49.77;;Data er manuelt kontrolleret
14-01-2021 21:30:00;4.36;4.48;50.71;;Data er manuelt kontrolleret
14-01-2021 21:00:00;4.63;5.05;51.41;;Data er manuelt kontrolleret
14-01-2021 20:30:00;4.02;4.4;52.51;;Data er manuelt kontrolleret
14-01-2021 20:00:00;3.88;3.94;52.57;;Data er manuelt kontrolleret
14-01-2021 19:30:00;4.88;5.34;52.69;;Data er manuelt kontrolleret
14-01-2021 19:00:00;3.61;3.6;55.16;;Data er manuelt kontrolleret
14-01-2021 18:30:00;5.53;5.6;53.9;;Data er manuelt kontrolleret
14-01-2021 18:00:00;5.01;5.91;53.82;;Data er manuelt kontrolleret
14-01-2021 17:30:00;6.48;7.46;51.09;;Data er manuelt kontrolleret
14-01-2021 17:00:00;7.1;7.57;48.68;;Data er manuelt kontrolleret
14-01-2021 16:30:00;10.19;11.82;46.64;;Data er manuelt kontrolleret
14-01-2021 16:00:00;8.4;9.49;47.1;;Data er manuelt kontrolleret
14-01-2021 15:30:00;9.49;10.69;45.02;;Data er manuelt kontrolleret
14-01-2021 15:00:00;10.04;11.19;43.71;;Data er manuelt kontrolleret
14-01-2021 14:30:00;9.14;11.0;44.86;;Data er manuelt kontrolleret
14-01-2021 14:00:00;7.65;9.03;47.3;;Data er manuelt kontrolleret
14-01-2021 13:30:00;7.1;8.84;47.14;;Data er manuelt kontrolleret
14-01-2021 13:00:00;7.38;8.4;46.42;;Data er manuelt kontrolleret
14-01-2021 12:30:00;7.57;9.05;45.32;;Data er manuelt kontrolleret
14-01-2021 12:00:00;7.17;8.19;45.26;;Data er manuelt kontrolleret
14-01-2021 11:30:00;10.16;12.41;42.31;;Data er manuelt kontrolleret
14-01-2021 11:00:00;8.32;10.21;43.11;;Data er manuelt kontrolleret
14-01-2021 10:30:00;8.72;10.5;41.75;;Data er manuelt kontrolleret
14-01-2021 10:00:00;9.16;10.71;40.67;;Data er manuelt kontrolleret
14-01-2021 09:30:00;8.49;9.52;41.39;;Data er manuelt kontrolleret
14-01-2021 09:00:00;7.78;9.07;42.51;;Data er manuelt kontrolleret
14-01-2021 08:30:00;8.97;9.64;42.05;;Data er manuelt kontrolleret
14-01-2021 08:00:00;9.72;13.02;41.63;;Data er manuelt kontrolleret
14-01-2021 07:30:00;11.95;17.33;39.45;;Data er manuelt kontrolleret
14-01-2021 07:00:00;8.3;9.94;42.31;;Data er manuelt kontrolleret
14-01-2021 06:30:00;8.01;10.23;42.55;;Data er manuelt kontrolleret
14-01-2021 05:30:00;4.09;5.45;44.26;;Data er manuelt kontrolleret
14-01-2021 05:00:00;3.71;4.42;44.76;;Data er manuelt kontrolleret
14-01-2021 04:30:00;3.69;4.72;44.6;;Data er manuelt kontrolleret
14-01-2021 04:00:00;3.67;4.51;44.34;;Data er manuelt kontrolleret
14-01-2021 03:30:00;3.17;4.07;44.56;;Data er manuelt kontrolleret
14-01-2021 03:00:00;2.93;3.4;;;Data er manuelt kontrolleret
14-01-2021 02:30:00;2.91;3.21;42.89;;Data er manuelt kontrolleret
14-01-2021 02:00:00;3.4;4.32;42.25;;Data er manuelt kontrolleret
14-01-2021 01:30:00;3.02;3.63;42.49;;Data er manuelt kontrolleret
14-01-2021 01:00:00;2.91;3.73;41.71;;Data er manuelt kontrolleret
14-01-2021 00:30:00;2.75;3.65;41.29;;Data er manuelt kontrolleret
14-01-2021 00:00:00;3.06;3.63;41.25;6.29;Data er manuelt kontrolleret
13-01-2021 23:30:00;3.29;4.0;39.02;;Data er manuelt kontrolleret
