Data opsamlet af Aarhus Universitet. Institut for Miljoevidenskab <br> Data er kvalitetskontrolleret til 1. april 2021. Data efter denne dato er ikke manuelt kontrolleret og kan indeholde fejl <br>For yderligere information se https://envs.au.dk/faglige-omraader/luftforurening-udledninger-og-effekter/luftforurening/ eller kontakt Thomas Ellermann tel@envs.au.dk <br> <br>Gasser: NO2: Kvælstofdioxid µg/m<sup>3</sup>. NOx: Kvælstofoxider µg/m<sup>3</sup>. O3: Ozon µg/m<sup>3</sup>
Data fra Aalborg Tag
Recorded;CO;NO2;SO2;NOx;
07-03-2022 12:30:00;0.29;15.97;0.4;39.95;Data er manuelt kontrolleret
07-03-2022 12:00:00;0.28;17.12;0.27;28.67;Data er manuelt kontrolleret
07-03-2022 11:30:00;0.26;20.79;0.4;33.76;Data er manuelt kontrolleret
07-03-2022 11:00:00;0.26;18.32;0.45;31.36;Data er manuelt kontrolleret
07-03-2022 10:30:00;0.24;19.83;0.4;33.64;Data er manuelt kontrolleret
07-03-2022 10:00:00;0.24;21.5;0.37;36.66;Data er manuelt kontrolleret
07-03-2022 09:30:00;0.31;52.67;1.3;113.91;Data er manuelt kontrolleret
07-03-2022 09:00:00;0.27;40.51;0.8;74.2;Data er manuelt kontrolleret
07-03-2022 08:30:00;0.35;62.54;1.6;156.84;Data er manuelt kontrolleret
07-03-2022 08:00:00;0.47;74.68;2.29;208.19;Data er manuelt kontrolleret
07-03-2022 07:30:00;0.56;85.45;3.22;278.44;Data er manuelt kontrolleret
07-03-2022 07:00:00;0.56;76.69;2.98;235.54;Data er manuelt kontrolleret
07-03-2022 06:30:00;0.41;66.1;1.97;193.58;Data er manuelt kontrolleret
07-03-2022 05:30:00;0.43;71.43;3.09;228.24;Data er manuelt kontrolleret
07-03-2022 05:00:00;0.27;64.62;2.02;169.58;Data er manuelt kontrolleret
07-03-2022 04:30:00;0.23;61.77;2.16;172.89;Data er manuelt kontrolleret
07-03-2022 04:00:00;0.2;10.88;0.37;13.29;Data er manuelt kontrolleret
07-03-2022 03:30:00;0.2;5.7;0.35;5.51;Data er manuelt kontrolleret
07-03-2022 03:00:00;0.22;10.52;0.43;11.95;Data er manuelt kontrolleret
07-03-2022 02:30:00;0.21;6.06;0.43;6.54;Data er manuelt kontrolleret
07-03-2022 02:00:00;0.2;6.92;0.45;7.21;Data er manuelt kontrolleret
07-03-2022 01:30:00;0.2;8.76;0.32;8.91;Data er manuelt kontrolleret
07-03-2022 00:30:00;0.22;9.6;0.21;10.56;Data er manuelt kontrolleret
07-03-2022 00:00:00;0.21;19.74;0.16;22.24;Data er manuelt kontrolleret
06-03-2022 23:30:00;0.3;37.2;0.35;49.88;Data er manuelt kontrolleret
06-03-2022 23:00:00;0.26;16.08;0;19.62;Data er manuelt kontrolleret
06-03-2022 22:30:00;0.27;21.04;0;26.35;Data er manuelt kontrolleret
06-03-2022 22:00:00;0.27;23.01;0.08;29.91;Data er manuelt kontrolleret
06-03-2022 21:30:00;0.3;25.07;0.08;32.11;Data er manuelt kontrolleret
06-03-2022 21:00:00;0.4;44.33;0.4;70.59;Data er manuelt kontrolleret
06-03-2022 20:30:00;0.29;27.85;0.24;37.37;Data er manuelt kontrolleret
06-03-2022 20:00:00;0.4;39.63;0.45;58.96;Data er manuelt kontrolleret
06-03-2022 19:30:00;0.35;34.58;0.24;47.64;Data er manuelt kontrolleret
06-03-2022 19:00:00;0.41;40.24;0.43;56.8;Data er manuelt kontrolleret
06-03-2022 18:30:00;0.35;35.57;0.16;45.15;Data er manuelt kontrolleret
06-03-2022 18:00:00;0.34;33.51;0.21;50.36;Data er manuelt kontrolleret
06-03-2022 17:30:00;0.24;14.21;0;18.17;Data er manuelt kontrolleret
06-03-2022 17:00:00;0.24;13.41;0.05;18.32;Data er manuelt kontrolleret
06-03-2022 16:30:00;0.24;13.73;0;19.6;Data er manuelt kontrolleret
06-03-2022 16:00:00;0.24;11.9;0.11;17.4;Data er manuelt kontrolleret
06-03-2022 15:30:00;0.26;15.99;0.05;21.82;Data er manuelt kontrolleret
06-03-2022 15:00:00;0.24;14.75;0.24;20.56;Data er manuelt kontrolleret
06-03-2022 14:30:00;0.31;30.47;1.12;53.53;Data er manuelt kontrolleret
06-03-2022 14:00:00;0.28;4.92;1.73;64.45;Data er manuelt kontrolleret
06-03-2022 13:30:00;0.26;13.96;0.53;21.73;Data er manuelt kontrolleret
06-03-2022 13:00:00;0.24;23.03;0.75;42.59;Data er manuelt kontrolleret
