Recorded,NO2,NOx
07-03-2022 12:30:00,15.97,39.95
07-03-2022 12:00:00,17.12,28.67
07-03-2022 11:30:00,20.79,33.76
07-03-2022 11:00:00,18.32,31.36
07-03-2022 10:30:00,19.83,33.64
07-03-2022 10:00:00,21.5,36.66
07-03-2022 09:30:00,52.67,113.91
07-03-2022 09:00:00,40.51,74.2
07-03-2022 08:30:00,62.54,156.84
07-03-2022 08:00:00,74.68,208.19
07-03-2022 07:30:00,85.45,278.44
07-03-2022 07:00:00,76.69,235.54
07-03-2022 06:30:00,66.1,193.58
07-03-2022 05:30:00,71.43,228.24
07-03-2022 05:00:00,64.62,169.58
07-03-2022 04:30:00,61.77,172.89
07-03-2022 04:00:00,10.88,13.29
07-03-2022 03:30:00,5.7,5.51
07-03-2022 03:00:00,10.52,11.95
07-03-2022 02:30:00,6.06,6.54
07-03-2022 02:00:00,6.92,7.21
07-03-2022 01:30:00,8.76,8.91
07-03-2022 00:30:00,9.6,10.56
07-03-2022 00:00:00,19.74,22.24
06-03-2022 23:30:00,37.2,49.88
06-03-2022 23:00:00,16.08,19.62
06-03-2022 22:30:00,21.04,26.35
06-03-2022 22:00:00,23.01,29.91
06-03-2022 21:30:00,25.07,32.11
06-03-2022 21:00:00,44.33,70.59
06-03-2022 20:30:00,27.85,37.37
06-03-2022 20:00:00,39.63,58.96
06-03-2022 19:30:00,34.58,47.64
06-03-2022 19:00:00,40.24,56.8
06-03-2022 18:30:00,35.57,45.15
06-03-2022 18:00:00,33.51,50.36
06-03-2022 17:30:00,14.21,18.17
06-03-2022 17:00:00,13.41,18.32
06-03-2022 16:30:00,13.73,19.6
06-03-2022 16:00:00,11.9,17.4
06-03-2022 15:30:00,15.99,21.82
06-03-2022 15:00:00,14.75,20.56
06-03-2022 14:30:00,30.47,53.53
06-03-2022 14:00:00,4.92,64.45
06-03-2022 13:30:00,13.96,21.73
06-03-2022 13:00:00,23.03,42.59
06-03-2022 12:30:00,13.5,19.95
06-03-2022 12:00:00,18.46,34.2
06-03-2022 11:30:00,15.95,24.35
06-03-2022 11:00:00,24.46,38.17
06-03-2022 10:30:00,15.99,25.15
06-03-2022 10:00:00,28.08,51.71
06-03-2022 09:30:00,14.67,20.96
06-03-2022 09:00:00,14.11,20.85
06-03-2022 08:30:00,16.64,23.18
06-03-2022 08:00:00,13.37,17.65
06-03-2022 07:30:00,14.06,16.98
06-03-2022 07:00:00,16.91,21.25
06-03-2022 06:30:00,33.53,54.47
06-03-2022 06:00:00,16.14,19.7
06-03-2022 05:30:00,10.42,12.18
06-03-2022 04:30:00,6.54,7.99
06-03-2022 04:00:00,6.33,6.69
06-03-2022 03:30:00,7.04,6.92
06-03-2022 03:00:00,6.37,6.16
06-03-2022 02:30:00,6.06,6.1
06-03-2022 02:00:00,6.33,6.96
06-03-2022 01:30:00,9.01,10.67
06-03-2022 01:00:00,8.47,9.31
06-03-2022 00:30:00,11.57,14.38
06-03-2022 00:00:00,9.62,11.57
05-03-2022 23:30:00,11.21,13.31
05-03-2022 23:00:00,11.21,14.15
05-03-2022 22:30:00,10.96,13.1
05-03-2022 22:00:00,13.14,16.14
05-03-2022 21:30:00,15.74,19.81
05-03-2022 21:00:00,52.8,105.07
05-03-2022 20:30:00,23.75,31.96
05-03-2022 20:00:00,29.28,40.39
05-03-2022 19:30:00,31.31,44.85
05-03-2022 19:00:00,45.69,72.31
05-03-2022 18:30:00,23.47,28.17
05-03-2022 18:00:00,20.98,26.93
05-03-2022 17:30:00,23.85,30.7
05-03-2022 17:00:00,23.98,38.9
05-03-2022 16:30:00,24.44,37.75
05-03-2022 16:00:00,14.36,20.33
05-03-2022 15:30:00,24.94,39.93
05-03-2022 15:00:00,29.3,54.51
05-03-2022 14:30:00,25.7,49.8
05-03-2022 14:00:00,19.72,33.99
05-03-2022 13:30:00,17.77,26.89
05-03-2022 13:00:00,21.25,37.18
05-03-2022 12:30:00,25.23,43.6
05-03-2022 12:00:00,18.93,28.67
05-03-2022 11:30:00,23.81,40.49
05-03-2022 11:00:00,22.82,36.38
05-03-2022 10:30:00,19.07,30.77
05-03-2022 10:00:00,24.1,42.86
05-03-2022 09:30:00,30.7,46.99
05-03-2022 09:00:00,44.01,84.36
05-03-2022 08:30:00,62.27,120.26
05-03-2022 08:00:00,41.92,87.82
05-03-2022 07:30:00,48.1,86.06
05-03-2022 07:00:00,46.84,75.66
05-03-2022 06:30:00,40.76,63.07
05-03-2022 06:00:00,32.38,44.24
05-03-2022 05:30:00,20.56,27.71
05-03-2022 05:00:00,16.79,26.16
05-03-2022 04:30:00,16.24,19.53
05-03-2022 03:30:00,17.23,23.24
05-03-2022 03:00:00,16.52,27.23
05-03-2022 02:30:00,23.52,45.67
05-03-2022 02:00:00,24.33,48.6
05-03-2022 01:30:00,17.73,24.75
05-03-2022 01:00:00,36.15,76.83
05-03-2022 00:30:00,37.73,86.83
05-03-2022 00:00:00,43.8,79.77
04-03-2022 23:30:00,52.92,108.52
04-03-2022 23:00:00,63.8,145.85
04-03-2022 22:30:00,55.33,100.33
04-03-2022 22:00:00,62.96,122.06
04-03-2022 21:30:00,47.64,88.09
04-03-2022 21:00:00,38.35,82.93
04-03-2022 20:30:00,33.24,64.28
04-03-2022 20:00:00,37.79,94.0
04-03-2022 19:30:00,24.54,59.77
04-03-2022 19:00:00,47.93,103.26
04-03-2022 18:30:00,39.67,85.13
04-03-2022 18:00:00,41.33,86.25
04-03-2022 17:30:00,51.01,103.29
04-03-2022 17:00:00,49.27,113.95
04-03-2022 16:30:00,44.06,108.21
04-03-2022 16:00:00,36.17,98.44
04-03-2022 15:30:00,35.04,86.98
04-03-2022 15:00:00,31.25,79.1
04-03-2022 14:30:00,18.4,95.76
04-03-2022 14:00:00,21.63,95.32
04-03-2022 13:30:00,31.52,76.67
04-03-2022 13:00:00,45.14,108.9
04-03-2022 12:30:00,34.02,80.46
04-03-2022 12:00:00,38.44,95.07
04-03-2022 11:30:00,41.77,94.0
04-03-2022 11:00:00,36.57,83.69
04-03-2022 10:30:00,53.84,131.83
04-03-2022 10:00:00,30.85,73.63
04-03-2022 09:30:00,43.09,97.14
04-03-2022 09:00:00,47.05,111.59
04-03-2022 08:30:00,55.14,146.98
04-03-2022 08:00:00,69.67,222.77
04-03-2022 07:30:00,90.04,305.43
04-03-2022 07:00:00,63.9,181.36
04-03-2022 06:30:00,58.71,143.23
04-03-2022 05:30:00,25.07,39.7
04-03-2022 05:00:00,20.12,28.96
04-03-2022 04:30:00,23.66,28.13
04-03-2022 04:00:00,16.98,21.63
04-03-2022 03:30:00,53.7,90.52
04-03-2022 03:00:00,27.67,31.61
04-03-2022 02:30:00,28.23,34.41
04-03-2022 02:00:00,49.29,63.8
04-03-2022 01:30:00,27.37,33.45
04-03-2022 01:00:00,24.48,29.38
04-03-2022 00:30:00,31.12,67.13
04-03-2022 00:00:00,48.9,73.46
03-03-2022 23:30:00,56.63,105.65
03-03-2022 23:00:00,62.29,125.84
03-03-2022 22:30:00,60.99,158.05
03-03-2022 22:00:00,57.59,131.16
03-03-2022 21:30:00,73.27,143.51
03-03-2022 21:00:00,81.82,164.17
03-03-2022 20:30:00,59.4,116.01
03-03-2022 20:00:00,70.72,212.67
03-03-2022 19:30:00,63.93,115.84
03-03-2022 19:00:00,39.03,145.29
03-03-2022 18:30:00,85.87,185.89
03-03-2022 18:00:00,63.53,140.43
03-03-2022 17:30:00,46.03,109.09
03-03-2022 17:00:00,59.57,145.24
03-03-2022 16:30:00,61.56,135.88
03-03-2022 16:00:00,69.62,184.56
03-03-2022 15:30:00,75.77,200.98
03-03-2022 15:00:00,57.45,155.18
03-03-2022 14:30:00,57.36,127.26
