station_id,Recorded,NO2,NOx
Oesterbro,2020-01-14 00:00:00,61.02,4.36
Vesterbro,2020-01-14 00:00:00,5.52,8.33
Vesterbro,2020-01-14 00:30:00,6.78,9.43
Oesterbro,2020-01-14 00:30:00,57.57,5.26
Oesterbro,2020-01-14 01:00:00,,6.49
Vesterbro,2020-01-14 01:00:00,6.38,8.16
Oesterbro,2020-01-14 01:30:00,48.55,7.73
Vesterbro,2020-01-14 01:30:00,8.48,10.54
Oesterbro,2020-01-14 02:00:00,46.28,8.08
Vesterbro,2020-01-14 02:00:00,8.04,9.35
Oesterbro,2020-01-14 02:30:00,46.87,7.18
Vesterbro,2020-01-14 02:30:00,8.1,12.65
Oesterbro,2020-01-14 03:00:00,47.43,6.49
Vesterbro,2020-01-14 03:00:00,6.86,8.7
Oesterbro,2020-01-14 03:30:00,47.64,5.93
Vesterbro,2020-01-14 03:30:00,6.99,9.0
Oesterbro,2020-01-14 04:30:00,46.58,5.49
Vesterbro,2020-01-14 04:30:00,7.78,10.19
Oesterbro,2020-01-14 05:00:00,46.52,5.43
Vesterbro,2020-01-14 05:00:00,6.02,10.49
Oesterbro,2020-01-14 05:30:00,46.38,5.91
Vesterbro,2020-01-14 05:30:00,12.73,20.92
Oesterbro,2020-01-14 06:00:00,46.06,6.61
Vesterbro,2020-01-14 06:00:00,17.15,35.95
Vesterbro,2020-01-14 06:30:00,23.0,55.18
Oesterbro,2020-01-14 06:30:00,44.48,8.45
Oesterbro,2020-01-14 07:00:00,40.74,12.04
Vesterbro,2020-01-14 07:00:00,33.27,76.21
Oesterbro,2020-01-14 07:30:00,34.69,18.66
Vesterbro,2020-01-14 07:30:00,40.57,83.32
Oesterbro,2020-01-14 08:00:00,31.21,21.85
Vesterbro,2020-01-14 08:00:00,40.61,85.64
Oesterbro,2020-01-14 08:30:00,40.07,16.25
Vesterbro,2020-01-14 08:30:00,25.76,47.11
Oesterbro,2020-01-14 09:00:00,65.39,9.52
Vesterbro,2020-01-14 09:00:00,11.97,19.45
Oesterbro,2020-01-14 09:30:00,73.8,8.26
Vesterbro,2020-01-14 09:30:00,14.19,21.51
Vesterbro,2020-01-14 10:00:00,14.75,22.09
Oesterbro,2020-01-14 10:00:00,73.58,9.48
Vesterbro,2020-01-14 10:30:00,16.96,26.14
Oesterbro,2020-01-14 10:30:00,74.02,9.14
Vesterbro,2020-01-14 11:00:00,16.13,26.26
Oesterbro,2020-01-14 11:00:00,72.41,9.44
Vesterbro,2020-01-14 11:30:00,14.58,22.76
Oesterbro,2020-01-14 11:30:00,73.74,7.66
Vesterbro,2020-01-14 12:00:00,14.94,24.79
Oesterbro,2020-01-14 12:00:00,70.51,8.14
Vesterbro,2020-01-14 12:30:00,11.71,21.03
Oesterbro,2020-01-14 12:30:00,69.43,8.91
Vesterbro,2020-01-14 13:00:00,9.67,16.73
Oesterbro,2020-01-14 13:00:00,68.58,10.22
Vesterbro,2020-01-14 13:30:00,12.78,20.9
Oesterbro,2020-01-14 13:30:00,67.49,10.1
Vesterbro,2020-01-14 14:00:00,14.83,25.12
Oesterbro,2020-01-14 14:00:00,68.14,9.68
Oesterbro,2020-01-14 14:30:00,66.52,10.42
Vesterbro,2020-01-14 14:30:00,17.18,29.49
Vesterbro,2020-01-14 15:00:00,27.24,47.07
Oesterbro,2020-01-14 15:00:00,60.15,16.11
Vesterbro,2020-01-14 15:30:00,39.32,69.29
Oesterbro,2020-01-14 15:30:00,59.18,13.44
Vesterbro,2020-01-14 16:00:00,42.47,65.25
Oesterbro,2020-01-14 16:00:00,60.25,12.06
Vesterbro,2020-01-14 16:30:00,26.94,43.58
Oesterbro,2020-01-14 16:30:00,62.88,11.2
Vesterbro,2020-01-14 17:00:00,39.41,60.84
Oesterbro,2020-01-14 17:00:00,59.52,14.19
Vesterbro,2020-01-14 17:30:00,48.9,88.54
Oesterbro,2020-01-14 17:30:00,59.78,12.45
Oesterbro,2020-01-14 18:00:00,60.98,10.23
Vesterbro,2020-01-14 18:00:00,37.19,69.89
Vesterbro,2020-01-14 18:30:00,32.22,62.29
Oesterbro,2020-01-14 18:30:00,62.84,8.87
Vesterbro,2020-01-14 19:00:00,37.49,62.64
Oesterbro,2020-01-14 19:00:00,64.33,6.79
Vesterbro,2020-01-14 19:30:00,28.7,49.97
Oesterbro,2020-01-14 19:30:00,65.75,6.54
Oesterbro,2020-01-14 20:00:00,66.27,7.57
Vesterbro,2020-01-14 20:00:00,22.01,39.48
Oesterbro,2020-01-14 20:30:00,65.59,6.65
Vesterbro,2020-01-14 20:30:00,21.55,37.76
Vesterbro,2020-01-14 21:00:00,11.52,20.56
Oesterbro,2020-01-14 21:00:00,62.9,7.34
Oesterbro,2020-01-14 21:30:00,60.47,6.73
Vesterbro,2020-01-14 21:30:00,10.46,20.49
Oesterbro,2020-01-14 22:00:00,53.27,6.43
Vesterbro,2020-01-14 22:00:00,12.08,21.6
Vesterbro,2020-01-14 22:30:00,,
Oesterbro,2020-01-14 22:30:00,48.68,6.22
Vesterbro,2020-01-14 23:00:00,7.11,10.43
Oesterbro,2020-01-14 23:00:00,53.41,5.51
Oesterbro,2020-01-14 23:30:00,57.5,4.34
Vesterbro,2020-01-14 23:30:00,5.1,8.19
Vesterbro,2020-01-15 00:00:00,4.03,5.01
Oesterbro,2020-01-15 00:00:00,59.15,4.1
Vesterbro,2020-01-15 00:30:00,3.58,4.75
Oesterbro,2020-01-15 00:30:00,61.16,3.63
Vesterbro,2020-01-15 01:00:00,2.89,3.61
Oesterbro,2020-01-15 01:00:00,64.15,2.99
Oesterbro,2020-01-15 01:30:00,67.28,2.28
Vesterbro,2020-01-15 01:30:00,2.58,3.33
Oesterbro,2020-01-15 02:00:00,,2.15
Vesterbro,2020-01-15 02:00:00,2.28,2.44
Oesterbro,2020-01-15 02:30:00,71.49,2.16
Vesterbro,2020-01-15 02:30:00,2.19,2.57
Oesterbro,2020-01-15 03:00:00,71.81,2.03
Vesterbro,2020-01-15 03:00:00,2.28,2.89
Vesterbro,2020-01-15 03:30:00,2.13,2.98
Oesterbro,2020-01-15 03:30:00,72.34,2.16
Vesterbro,2020-01-15 04:00:00,1.98,2.35
Oesterbro,2020-01-15 04:00:00,73.73,2.93
Oesterbro,2020-01-15 04:30:00,73.35,3.56
Vesterbro,2020-01-15 04:30:00,2.69,3.46
Vesterbro,2020-01-15 05:30:00,4.63,7.19
Oesterbro,2020-01-15 05:30:00,71.93,4.65
Vesterbro,2020-01-15 06:00:00,6.72,11.91
Oesterbro,2020-01-15 06:00:00,72.3,4.89
Vesterbro,2020-01-15 06:30:00,9.51,14.98
Oesterbro,2020-01-15 06:30:00,72.76,5.9
Oesterbro,2020-01-15 07:00:00,68.66,8.7
Vesterbro,2020-01-15 07:00:00,15.53,27.73
Vesterbro,2020-01-15 07:30:00,14.84,25.04
Oesterbro,2020-01-15 07:30:00,66.92,10.38
Vesterbro,2020-01-15 08:00:00,12.2,19.25
Oesterbro,2020-01-15 08:00:00,70.76,8.27
Vesterbro,2020-01-15 08:30:00,10.0,15.16
Oesterbro,2020-01-15 08:30:00,67.81,11.05
Vesterbro,2020-01-15 09:00:00,11.72,17.04
Oesterbro,2020-01-15 09:00:00,66.17,11.64
Oesterbro,2020-01-15 09:30:00,63.09,14.54
Vesterbro,2020-01-15 09:30:00,21.43,33.06
Vesterbro,2020-01-15 10:00:00,16.08,24.5
Oesterbro,2020-01-15 10:00:00,65.1,11.25
Vesterbro,2020-01-15 10:30:00,12.79,21.33
Oesterbro,2020-01-15 10:30:00,68.57,10.91
Vesterbro,2020-01-15 11:00:00,13.65,21.9
Oesterbro,2020-01-15 11:00:00,69.12,11.71
Oesterbro,2020-01-15 11:30:00,66.49,13.32
Vesterbro,2020-01-15 11:30:00,15.39,23.85
Oesterbro,2020-01-15 12:00:00,67.77,10.2
Vesterbro,2020-01-15 12:00:00,17.44,29.5
Oesterbro,2020-01-15 12:30:00,67.1,9.24
Vesterbro,2020-01-15 12:30:00,22.62,36.01
Oesterbro,2020-01-15 13:00:00,64.53,11.92
Vesterbro,2020-01-15 13:00:00,19.72,32.95
Vesterbro,2020-01-15 13:30:00,20.99,34.2
Oesterbro,2020-01-15 13:30:00,65.09,11.54
Oesterbro,2020-01-15 14:00:00,63.8,12.27
Vesterbro,2020-01-15 14:00:00,19.43,33.12
Oesterbro,2020-01-15 14:30:00,62.26,12.31
Vesterbro,2020-01-15 14:30:00,18.23,29.63
Oesterbro,2020-01-15 15:00:00,58.36,15.37
Vesterbro,2020-01-15 15:00:00,24.74,41.56
Oesterbro,2020-01-15 15:30:00,55.61,17.15
Vesterbro,2020-01-15 15:30:00,25.93,43.71
Vesterbro,2020-01-15 16:00:00,22.12,35.5
Oesterbro,2020-01-15 16:00:00,55.33,16.69
Oesterbro,2020-01-15 16:30:00,55.99,14.51
Vesterbro,2020-01-15 16:30:00,22.1,35.79
Vesterbro,2020-01-15 17:00:00,21.72,33.01
Oesterbro,2020-01-15 17:00:00,64.04,9.88
Vesterbro,2020-01-15 17:30:00,19.72,30.36
Oesterbro,2020-01-15 17:30:00,72.01,5.94
Vesterbro,2020-01-15 18:00:00,14.12,21.19
Oesterbro,2020-01-15 18:00:00,74.07,5.87
Vesterbro,2020-01-15 18:30:00,9.68,14.63
Oesterbro,2020-01-15 18:30:00,76.6,5.2
Oesterbro,2020-01-15 19:00:00,74.23,6.06
