station_id,Recorded,NO2,NOx
Oesterbro,2022-01-15 00:00:00,4.88,4.67
Oesterbro,2022-01-15 00:30:00,3.73,3.29
Vesterbro,2022-01-15 01:00:00,3.44,6.08
Oesterbro,2022-01-15 01:00:00,3.39,2.87
Oesterbro,2022-01-15 01:30:00,6.04,5.68
Vesterbro,2022-01-15 01:30:00,5.3,9.05
Oesterbro,2022-01-15 02:00:00,7.32,6.58
Vesterbro,2022-01-15 02:00:00,23.68,40.81
Oesterbro,2022-01-15 02:30:00,7.31,6.69
Vesterbro,2022-01-15 02:30:00,13.73,21.59
Vesterbro,2022-01-15 03:00:00,15.26,24.17
Oesterbro,2022-01-15 03:00:00,8.19,8.01
Oesterbro,2022-01-15 03:30:00,8.22,7.99
Vesterbro,2022-01-15 03:30:00,9.2,12.09
Oesterbro,2022-01-15 04:00:00,6.43,5.89
Vesterbro,2022-01-15 04:00:00,5.7,9.18
Oesterbro,2022-01-15 04:30:00,5.18,4.88
Vesterbro,2022-01-15 04:30:00,2.81,6.14
Vesterbro,2022-01-15 05:00:00,11.95,35.92
Oesterbro,2022-01-15 05:30:00,5.45,5.68
Vesterbro,2022-01-15 05:30:00,20.0,87.11
Oesterbro,2022-01-15 06:00:00,7.65,7.82
Vesterbro,2022-01-15 06:30:00,39.72,64.07
Oesterbro,2022-01-15 06:30:00,9.18,9.14
Vesterbro,2022-01-15 07:00:00,36.97,57.64
Oesterbro,2022-01-15 07:00:00,9.12,9.52
Vesterbro,2022-01-15 07:30:00,28.34,41.6
Oesterbro,2022-01-15 07:30:00,15.34,16.05
Oesterbro,2022-01-15 08:00:00,15.19,15.63
Vesterbro,2022-01-15 08:00:00,41.96,68.51
Vesterbro,2022-01-15 08:30:00,20.92,27.04
Oesterbro,2022-01-15 08:30:00,16.83,17.46
Vesterbro,2022-01-15 09:00:00,8.51,10.98
Oesterbro,2022-01-15 09:00:00,20.31,23.66
Vesterbro,2022-01-15 09:30:00,9.52,13.25
Oesterbro,2022-01-15 09:30:00,19.68,22.62
Oesterbro,2022-01-15 10:00:00,11.61,13.16
Vesterbro,2022-01-15 10:00:00,9.47,13.31
Vesterbro,2022-01-15 10:30:00,10.21,14.17
Oesterbro,2022-01-15 10:30:00,8.11,9.24
Vesterbro,2022-01-15 11:00:00,10.21,13.39
Oesterbro,2022-01-15 11:00:00,8.64,10.25
Vesterbro,2022-01-15 11:30:00,9.66,13.62
Oesterbro,2022-01-15 11:30:00,6.48,7.9
Vesterbro,2022-01-15 12:00:00,9.81,14.29
Oesterbro,2022-01-15 12:00:00,6.69,7.57
Vesterbro,2022-01-15 12:30:00,9.58,14.57
