time,time_week,time_year,time_month,time_day,time_hour,station_id,PM25_Concentration,NO2_Concentration,NOx_Concentration,SO2_Concentration,CO_Concentration
2021-01-14 00:00:00,3,2021,1,14,0,Vesterbro,7.52,2.72,4.28,0.43,0.24
2021-01-14 01:00:00,3,2021,1,14,1,Vesterbro,,2.41,3.77,0.35,0.22
2021-01-14 02:00:00,3,2021,1,14,2,Vesterbro,,2.81,4.04,0.27,0.23
2021-01-14 03:00:00,3,2021,1,14,3,Vesterbro,,1.76,2.14,0.35,0.21
2021-01-14 04:00:00,3,2021,1,14,4,Vesterbro,,4.49,6.88,0.0,0.2
2021-01-14 05:00:00,3,2021,1,14,5,Vesterbro,,32.9,72.85,1.09,0.27
2021-01-14 06:00:00,3,2021,1,14,6,Vesterbro,,20.31,106.95,1.76,0.33
2021-01-14 07:00:00,3,2021,1,14,7,Vesterbro,,44.7,132.77,1.73,0.34
2021-01-14 08:00:00,3,2021,1,14,8,Vesterbro,,36.91,123.99,1.54,0.35
2021-01-14 09:00:00,3,2021,1,14,9,Vesterbro,,41.41,126.55,1.41,0.33
2021-01-14 10:00:00,3,2021,1,14,10,Vesterbro,,49.44,162.93,2.05,0.33
2021-01-14 11:00:00,3,2021,1,14,11,Vesterbro,,34.31,114.2,1.25,0.29
2021-01-14 12:00:00,3,2021,1,14,12,Vesterbro,,12.6,162.83,0.64,0.37
2021-01-14 13:00:00,3,2021,1,14,13,Vesterbro,,36.57,138.2,1.7,0.35
2021-01-14 14:00:00,3,2021,1,14,14,Vesterbro,,28.42,182.03,1.73,0.44
2021-01-14 15:00:00,3,2021,1,14,15,Vesterbro,,58.83,197.71,1.94,0.42
2021-01-14 16:00:00,3,2021,1,14,16,Vesterbro,,50.8,183.47,1.81,0.4
2021-01-14 17:00:00,3,2021,1,14,17,Vesterbro,,62.84,172.87,1.6,0.43
2021-01-14 18:00:00,3,2021,1,14,18,Vesterbro,,42.04,116.72,1.38,0.34
2021-01-14 19:00:00,3,2021,1,14,19,Vesterbro,,34.58,79.81,1.65,0.35
2021-01-14 20:00:00,3,2021,1,14,20,Vesterbro,,15.63,24.0,1.68,0.23
2021-01-14 21:00:00,3,2021,1,14,21,Vesterbro,,30.26,69.1,0.98,0.34
2021-01-14 22:00:00,3,2021,1,14,22,Vesterbro,,19.3,42.4,0.93,0.3
2021-01-14 23:00:00,3,2021,1,14,23,Vesterbro,,17.5,39.38,1.22,0.29
2021-01-15 00:00:00,4,2021,1,15,0,Vesterbro,9.44,7.63,12.18,0.98,0.21
2021-01-15 01:00:00,4,2021,1,15,1,Vesterbro,,5.62,7.96,0.98,0.2
2021-01-15 02:00:00,4,2021,1,15,2,Vesterbro,,6.35,11.23,0.24,0.19
2021-01-15 03:00:00,4,2021,1,15,3,Vesterbro,,4.86,6.77,0.67,0.2
2021-01-15 04:00:00,4,2021,1,15,4,Vesterbro,,12.22,16.85,1.04,0.2
2021-01-15 05:00:00,4,2021,1,15,5,Vesterbro,,21.76,35.61,1.17,0.2
2021-01-15 06:00:00,4,2021,1,15,6,Vesterbro,,59.25,162.56,0.85,0.43
2021-01-15 07:00:00,4,2021,1,15,7,Vesterbro,,62.16,165.89,1.3,0.37
2021-01-15 08:00:00,4,2021,1,15,8,Vesterbro,,26.93,46.68,0.67,0.23
2021-01-15 09:00:00,4,2021,1,15,9,Vesterbro,,24.08,42.74,0.72,0.26
2021-01-15 10:00:00,4,2021,1,15,10,Vesterbro,,27.9,56.5,0.82,0.27
2021-01-15 11:00:00,4,2021,1,15,11,Vesterbro,,26.62,53.05,0.69,0.27
2021-01-15 12:00:00,4,2021,1,15,12,Vesterbro,,28.88,57.47,0.45,0.27
2021-01-15 13:00:00,4,2021,1,15,13,Vesterbro,,17.82,30.12,0.27,0.27
2021-01-15 14:00:00,4,2021,1,15,14,Vesterbro,,28.82,67.21,0.61,0.31
2021-01-15 15:00:00,4,2021,1,15,15,Vesterbro,,0.0,42.38,0.4,0.3
2021-01-15 16:00:00,4,2021,1,15,16,Vesterbro,,55.58,154.32,0.61,0.38
2021-01-15 17:00:00,4,2021,1,15,17,Vesterbro,,32.21,77.78,0.0,0.35
2021-01-15 18:00:00,4,2021,1,15,18,Vesterbro,,24.77,50.55,0.0,0.34
2021-01-15 19:00:00,4,2021,1,15,19,Vesterbro,,34.18,81.91,0.19,0.37
2021-01-15 20:00:00,4,2021,1,15,20,Vesterbro,,31.1,72.85,0.0,0.34
2021-01-15 21:00:00,4,2021,1,15,21,Vesterbro,,24.9,53.4,0.0,0.33
2021-01-15 22:00:00,4,2021,1,15,22,Vesterbro,,30.22,87.34,0.0,0.38
2021-01-15 23:00:00,4,2021,1,15,23,Vesterbro,,33.6,72.56,0.19,0.35
2021-01-16 00:00:00,5,2021,1,16,0,Vesterbro,16.21,27.73,51.27,0.03,0.4
2021-01-16 01:00:00,5,2021,1,16,1,Vesterbro,,37.62,78.68,0.53,0.42
2021-01-16 02:00:00,5,2021,1,16,2,Vesterbro,,36.91,96.81,0.45,0.43
2021-01-16 03:00:00,5,2021,1,16,3,Vesterbro,,23.52,39.49,0.27,0.3
2021-01-16 04:00:00,5,2021,1,16,4,Vesterbro,,33.87,69.04,1.17,0.3
2021-01-16 05:00:00,5,2021,1,16,5,Vesterbro,,32.74,76.5,1.01,0.33
2021-01-16 06:00:00,5,2021,1,16,6,Vesterbro,,26.78,71.18,1.2,0.27
2021-01-16 07:00:00,5,2021,1,16,7,Vesterbro,,35.73,105.76,1.7,0.33
2021-01-16 08:00:00,5,2021,1,16,8,Vesterbro,,37.71,126.53,1.68,0.35
2021-01-16 09:00:00,5,2021,1,16,9,Vesterbro,,44.47,178.03,1.86,0.4
2021-01-16 10:00:00,5,2021,1,16,10,Vesterbro,,38.84,88.53,2.34,0.35
2021-01-16 11:00:00,5,2021,1,16,11,Vesterbro,,18.49,32.93,2.16,0.28
