time,time_week,time_year,time_month,time_day,time_hour,station_id,NO2_Concentration,NOx_Concentration,SO2_Concentration,CO_Concentration
2022-01-15 00:00:00,5,2022,1,15,0,Vesterbro,,,,
2022-01-15 01:00:00,5,2022,1,15,1,Vesterbro,3.44,6.08,0.27,0.08
2022-01-15 02:00:00,5,2022,1,15,2,Vesterbro,23.68,40.81,0.48,0.12
2022-01-15 03:00:00,5,2022,1,15,3,Vesterbro,15.26,24.17,0.53,0.12
2022-01-15 04:00:00,5,2022,1,15,4,Vesterbro,5.7,9.18,0.51,0.07
2022-01-15 05:00:00,5,2022,1,15,5,Vesterbro,11.95,35.92,0.93,0.08
2022-01-15 06:00:00,5,2022,1,15,6,Vesterbro,39.72,64.07,1.01,0.22
2022-01-15 07:00:00,5,2022,1,15,7,Vesterbro,36.97,57.64,0.9,0.24
2022-01-15 08:00:00,5,2022,1,15,8,Vesterbro,41.96,68.51,1.01,0.21
2022-01-15 09:00:00,5,2022,1,15,9,Vesterbro,8.51,10.98,0.67,0.17
2022-01-15 10:00:00,5,2022,1,15,10,Vesterbro,9.47,13.31,0.8,0.2
2022-01-15 11:00:00,5,2022,1,15,11,Vesterbro,10.21,13.39,0.82,0.19
2022-01-15 12:00:00,5,2022,1,15,12,Vesterbro,9.81,14.29,0.88,0.22
2022-01-15 13:00:00,5,2022,1,15,13,Vesterbro,10.75,15.47,0.96,0.23
2022-01-15 14:00:00,5,2022,1,15,14,Vesterbro,10.35,16.45,0.98,0.24
2022-01-15 15:00:00,5,2022,1,15,15,Vesterbro,11.19,15.43,0.88,0.24
2022-01-15 16:00:00,5,2022,1,15,16,Vesterbro,13.25,18.21,0.8,0.26
2022-01-15 17:00:00,5,2022,1,15,17,Vesterbro,15.64,27.98,0.75,0.26
2022-01-15 18:00:00,5,2022,1,15,18,Vesterbro,17.02,27.21,0.72,0.28
2022-01-15 19:00:00,5,2022,1,15,19,Vesterbro,14.76,22.24,0.64,0.29
2022-01-15 20:00:00,5,2022,1,15,20,Vesterbro,13.96,20.04,0.61,0.26
2022-01-15 21:00:00,5,2022,1,15,21,Vesterbro,8.59,13.06,0.51,0.28
2022-01-15 22:00:00,5,2022,1,15,22,Vesterbro,11.49,19.11,0.61,0.27
2022-01-15 23:00:00,5,2022,1,15,23,Vesterbro,10.82,15.11,0.53,0.26
2022-01-16 00:00:00,6,2022,1,16,0,Vesterbro,4.86,7.17,0.24,0.26
2022-01-16 01:00:00,6,2022,1,16,1,Vesterbro,3.61,4.17,0.4,0.24
2022-01-16 02:00:00,6,2022,1,16,2,Vesterbro,2.81,2.73,0.53,0.23
2022-01-16 03:00:00,6,2022,1,16,3,Vesterbro,2.49,2.18,0.4,0.24
2022-01-16 04:00:00,6,2022,1,16,4,Vesterbro,4.0,4.69,0.16,0.19
2022-01-16 05:00:00,6,2022,1,16,5,Vesterbro,5.41,5.95,0.29,0.2
2022-01-16 06:00:00,6,2022,1,16,6,Vesterbro,8.53,9.89,0.24,0.22
2022-01-16 07:00:00,6,2022,1,16,7,Vesterbro,8.55,10.37,0.37,0.24
2022-01-16 08:00:00,6,2022,1,16,8,Vesterbro,8.43,9.73,0.35,0.24
2022-01-16 09:00:00,6,2022,1,16,9,Vesterbro,5.57,7.9,0.29,0.21
2022-01-16 10:00:00,6,2022,1,16,10,Vesterbro,6.71,8.97,0.35,0.21
2022-01-16 11:00:00,6,2022,1,16,11,Vesterbro,6.27,8.49,0.4,0.23
2022-01-16 12:00:00,6,2022,1,16,12,Vesterbro,6.71,9.37,0.35,0.23
2022-01-16 13:00:00,6,2022,1,16,13,Vesterbro,5.7,9.45,0.43,0.23
2022-01-16 14:00:00,6,2022,1,16,14,Vesterbro,4.84,7.92,0.35,0.23
