time,time_week,time_year,time_month,time_day,time_hour,station_id,PM25_Concentration,NO2_Concentration,NOx_Concentration,O3_Concentration
2021-01-14 00:00:00,3,2021,1,14,0,Oesterbro,6.29,3.06,3.63,41.25
2021-01-14 01:00:00,3,2021,1,14,1,Oesterbro,,2.91,3.73,41.71
2021-01-14 02:00:00,3,2021,1,14,2,Oesterbro,,3.4,4.32,42.25
2021-01-14 03:00:00,3,2021,1,14,3,Oesterbro,,2.93,3.4,
2021-01-14 04:00:00,3,2021,1,14,4,Oesterbro,,3.67,4.51,44.34
2021-01-14 05:00:00,3,2021,1,14,5,Oesterbro,,3.71,4.42,44.76
2021-01-14 06:00:00,3,2021,1,14,6,Oesterbro,,8.01,10.23,42.55
2021-01-14 07:00:00,3,2021,1,14,7,Oesterbro,,8.3,9.94,42.31
2021-01-14 08:00:00,3,2021,1,14,8,Oesterbro,,9.72,13.02,41.63
2021-01-14 09:00:00,3,2021,1,14,9,Oesterbro,,7.78,9.07,42.51
2021-01-14 10:00:00,3,2021,1,14,10,Oesterbro,,9.16,10.71,40.67
2021-01-14 11:00:00,3,2021,1,14,11,Oesterbro,,8.32,10.21,43.11
2021-01-14 12:00:00,3,2021,1,14,12,Oesterbro,,7.17,8.19,45.26
2021-01-14 13:00:00,3,2021,1,14,13,Oesterbro,,7.38,8.4,46.42
2021-01-14 14:00:00,3,2021,1,14,14,Oesterbro,,7.65,9.03,47.3
2021-01-14 15:00:00,3,2021,1,14,15,Oesterbro,,10.04,11.19,43.71
2021-01-14 16:00:00,3,2021,1,14,16,Oesterbro,,8.4,9.49,47.1
2021-01-14 17:00:00,3,2021,1,14,17,Oesterbro,,7.1,7.57,48.68
2021-01-14 18:00:00,3,2021,1,14,18,Oesterbro,,5.01,5.91,53.82
2021-01-14 19:00:00,3,2021,1,14,19,Oesterbro,,3.61,3.6,55.16
2021-01-14 20:00:00,3,2021,1,14,20,Oesterbro,,3.88,3.94,52.57
2021-01-14 21:00:00,3,2021,1,14,21,Oesterbro,,4.63,5.05,51.41
2021-01-14 22:00:00,3,2021,1,14,22,Oesterbro,,4.48,4.55,49.77
2021-01-14 23:00:00,3,2021,1,14,23,Oesterbro,,3.4,2.98,51.27
2021-01-15 00:00:00,4,2021,1,15,0,Oesterbro,6.8,3.88,3.86,52.79
2021-01-15 01:00:00,4,2021,1,15,1,Oesterbro,,4.17,4.0,56.04
2021-01-15 02:00:00,4,2021,1,15,2,Oesterbro,,3.37,3.16,58.81
2021-01-15 03:00:00,4,2021,1,15,3,Oesterbro,,5.22,5.01,55.92
2021-01-15 04:00:00,4,2021,1,15,4,Oesterbro,,22.53,23.6,39.1
2021-01-15 05:00:00,4,2021,1,15,5,Oesterbro,,13.92,14.82,48.44
2021-01-15 06:00:00,4,2021,1,15,6,Oesterbro,,17.63,18.47,47.7
2021-01-15 07:00:00,4,2021,1,15,7,Oesterbro,,42.02,44.1,23.47
2021-01-15 08:00:00,4,2021,1,15,8,Oesterbro,,17.81,19.24,42.11
2021-01-15 09:00:00,4,2021,1,15,9,Oesterbro,,13.37,15.09,44.98
2021-01-15 10:00:00,4,2021,1,15,10,Oesterbro,,16.75,19.56,44.38
