,NO2,NOX
0,11.280251,16.006598
1,11.892403,17.629545
2,12.695569,19.531662
3,14.007359,22.07759
4,15.415365,26.380753
5,16.65036,29.721678
6,18.581244,34.590897
7,20.362438,40.047195
8,22.0536,44.98066
9,23.23418,48.871143
10,24.1372,52.90874
11,24.858553,54.9043
12,25.274317,57.431183
13,25.477943,58.67031
14,25.850733,59.961197
15,25.980217,60.799522
16,26.086119,61.725197
17,26.101475,61.992645
18,26.23125,62.345932
19,26.136192,62.175537
20,26.293041,62.777714
21,26.166046,61.38262
22,26.012543,61.602478
23,25.922668,60.62806
24,26.013847,59.94768
25,25.672543,57.78118
26,25.406397,56.80312
27,25.0047,54.25879
28,24.591217,52.167885
29,23.925488,50.198708
30,23.232126,47.82628
31,22.650118,45.188835
32,21.718693,42.864403
33,21.110876,40.455616
34,20.212059,38.39958
35,19.312134,35.662148
36,18.280405,33.702225
37,17.285738,30.801392
38,16.087315,27.883541
39,15.220492,25.938572
40,13.8735895,23.465965
41,12.860414,20.810867
42,11.781738,18.820217
43,11.104803,16.83655
44,10.442799,16.005745
45,10.192373,15.391533
46,10.241964,15.35446
47,10.461714,15.727976
48,11.909058,17.495277
49,12.736146,19.724869
50,13.683873,21.973852
51,15.139257,24.896334
52,16.592127,29.443508
53,17.846277,32.853466
54,19.66152,37.589508
55,21.34801,42.71202
56,22.860058,47.289066
57,23.785446,50.6705
58,24.533394,54.083374
59,25.03757,55.49424
60,25.309456,57.564484
61,25.431015,58.322205
62,25.655209,59.39729
63,25.691904,59.925125
64,25.728344,60.590584
65,25.68042,60.665844
66,25.831276,60.87896
67,25.706564,60.608353
68,25.876669,60.908966
69,25.691212,59.52181
70,25.535194,59.45452
71,25.433779,58.37967
72,25.418486,57.48904
73,25.097843,55.153008
74,24.813223,54.239964
75,24.344288,51.84596
76,23.90527,49.52867
77,23.198906,47.637863
78,22.513205,45.44738
79,21.879955,42.8637
80,20.949198,40.644115
81,20.386734,38.179153
82,19.406538,36.231483
83,18.542778,33.77399
84,17.50293,31.716608
85,16.509514,29.012644
86,15.348342,26.256739
87,14.483933,24.379498
88,13.207712,22.085806
89,12.283827,19.576584
90,11.346111,17.89241
91,10.815741,16.194704
