,NO2,NOX
0,10.98,13.79
1,8.99,9.24
2,15.11,20.44
3,19.64,25.59
4,22.77,56.36
5,24.01,53.54
6,28.05,67.93
7,41.65,145.72
8,43.24,114.84
9,44.16,212.63
10,39.46,124.29
11,37.98,118.78
12,32.36,100.41
13,34.33,102.14
14,33.87,106.38
15,26.74,78.29
16,23.41,44.62
17,21.46,49.07
18,22.45,43.41
19,20.02,39.86
20,22.87,42.9
21,17.02,32.32
22,22.45,39.86
23,28.02,49.59
24,34.89,67.19
25,35.41,61.24
26,38.89,87.36
27,37.58,106.87
28,38.16,78.73
29,34.14,83.41
30,34.82,76.48
31,29.51,59.84
32,27.46,57.67
33,30.36,56.55
34,28.31,54.59
35,26.44,50.0
36,28.31,54.39
37,26.24,47.83
38,25.34,52.53
39,22.5,45.23
40,21.14,47.02
41,19.3,28.27
42,15.03,28.56
43,14.77,29.42
44,13.98,23.66
45,12.62,18.3
46,11.49,15.89
47,12.18,13.67
48,11.63,14.15
49,12.13,14.84
50,22.77,56.09
51,24.01,73.06
52,35.04,91.69
53,41.92,122.67
54,37.18,89.56
55,43.24,114.84
56,44.16,212.63
57,39.46,124.29
58,37.98,118.78
59,32.36,100.41
60,34.33,102.14
61,33.87,106.38
62,33.71,87.32
63,34.18,84.91
64,38.21,96.24
65,31.04,87.48
66,28.48,114.13
67,27.67,89.25
68,34.78,83.61
69,32.51,103.12
70,37.8,98.72
71,26.07,77.82
72,38.44,104.21
73,38.89,112.36
74,32.03,106.87
75,30.22,78.73
76,28.91,71.13
77,28.71,66.09
78,29.51,52.77
79,27.46,57.67
80,23.1,34.06
81,21.06,30.89
82,21.51,34.02
83,28.31,42.0
84,18.46,35.44
85,16.16,23.52
86,13.77,21.73
87,18.74,34.92
88,7.06,10.84
89,5.03,6.01
90,4.36,5.87
91,2.2,1.61
92,1.95,1.36
93,2.33,2.87
94,3.14,3.25
95,4.17,4.59
96,3.92,3.6
97,4.11,3.81
98,6.83,8.61
99,6.96,11.28
100,9.41,15.38
101,11.55,22.32
102,9.93,17.14
103,14.71,24.79
104,14.34,24.1
105,15.36,24.1
106,16.05,27.81
107,17.71,31.02
108,19.7,35.88
109,17.25,34.65
110,9.47,20.41
111,10.38,19.07
112,11.49,19.55
113,8.91,13.31
114,7.46,12.26
115,8.07,14.04
116,11.11,16.39
117,10.86,17.61
118,13.37,23.6
119,12.2,21.06
120,10.38,15.93
121,10.71,17.81
122,9.05,14.57
123,11.25,18.19
124,9.52,15.05
125,9.94,15.8
126,11.09,18.61
127,11.3,18.21
128,7.55,11.42
129,8.93,13.52
130,6.29,10.71
131,5.93,9.73
132,8.78,16.52
133,5.7,8.43
134,6.33,9.31
135,4.48,6.27
136,2.35,2.68
137,2.33,3.52
138,2.07,2.64
139,1.38,2.18
140,1.63,2.28
141,0.94,2.24
142,1.7,1.61
143,2.87,2.83
144,2.68,2.47
145,1.19,0.92
146,1.45,1.57
147,1.34,1.24
148,2.31,3.61
149,2.35,2.28
150,2.87,3.96
151,3.98,3.98
152,4.46,5.7
153,4.61,5.79
154,6.29,9.39
155,6.79,8.91
156,7.76,11.88
157,7.59,10.75
158,8.99,12.07
159,9.91,13.77
160,13.75,20.6
161,10.9,15.51
162,9.35,13.88
163,10.08,15.43
164,9.1,12.49
165,11.82,17.98
166,13.79,20.67
167,10.19,15.45
168,12.43,18.61
169,12.18,20.96
170,12.2,17.56
171,14.84,20.25
172,15.97,22.17
173,15.64,28.94
174,12.28,17.88
175,12.05,18.86
176,10.02,14.84
177,7.71,11.17
178,15.03,22.82
179,25.34,47.93
180,14.57,21.15
181,11.53,19.64
182,8.87,13.1
183,7.32,10.16
184,4.95,5.68
185,3.56,3.69
186,2.93,3.14
187,2.05,2.31
188,2.62,3.19
189,1.84,1.59
190,1.97,2.35
191,1.61,1.7
192,1.53,1.72
193,1.2,0.82
194,1.8,3.25
195,2.07,3.06
196,3.39,3.96
197,1.59,2.43
198,1.61,1.63
199,3.39,5.36
200,2.45,4.86
201,2.49,4.46
202,4.13,6.29
203,3.35,5.7
204,3.61,7.08
205,5.26,9.62
206,5.62,9.08
207,6.01,11.51
208,5.7,11.38
209,7.32,11.17
210,7.46,12.6
211,8.05,12.43
212,8.15,12.57
213,8.26,12.32
214,12.39,17.98
215,19.66,29.13
216,30.22,62.31
217,34.14,69.94
218,33.98,66.09
219,29.51,59.84
220,27.46,57.67
221,20.79,34.62
222,12.26,39.74
223,14.04,20.85
224,11.25,18.72
225,8.07,12.6
226,7.02,9.98
227,5.07,6.5
228,5.05,9.43
229,7.52,9.05
230,6.31,8.8
231,6.88,12.34
232,3.67,5.2
