,NO2,NOX,O3
0,7.411477,9.266828,60.88335
1,7.2663317,9.177867,61.530598
2,7.228631,8.973057,62.004143
3,7.0764003,8.776451,62.7535
4,6.954735,8.550391,63.269344
5,6.8403926,8.437508,63.767036
6,6.7225204,8.315374,64.302414
7,6.6554184,8.093491,64.68616
8,6.6175866,7.958227,64.86301
9,6.520437,7.819993,65.368256
10,6.516112,7.7153225,65.45348
11,6.530978,7.643333,65.38783
12,6.536255,7.6449804,65.22926
13,6.569826,7.529668,64.97508
14,6.543466,7.525938,64.79575
15,6.5265536,7.397173,64.647575
16,6.471329,7.368163,64.42679
17,6.383075,7.1944523,64.21439
18,6.311957,7.067562,64.04543
19,6.262933,6.918087,63.872223
20,6.1634226,6.830863,63.59516
21,6.0499997,6.658346,63.2233
22,5.8888726,6.432366,63.128006
23,5.789258,6.3376055,62.680153
24,5.6109524,6.1260614,62.443123
25,5.5316353,5.995835,62.222218
26,5.3663387,5.791237,61.996223
27,5.2486343,5.603382,61.759926
28,5.172101,5.4928875,61.596718
29,5.1307664,5.3720465,61.240795
30,5.0711465,5.3868575,61.016384
31,5.142386,5.3807516,60.373848
32,5.184035,5.497242,60.17255
33,5.2434053,5.5652943,59.777786
34,5.4405413,5.815345,59.461372
35,5.596678,6.079832,58.980118
36,5.7521615,6.333738,58.62327
37,5.968993,6.567672,58.4721
38,6.1872044,6.905155,58.02528
39,6.4787855,7.291822,57.927856
40,6.6611753,7.6252346,57.76173
41,6.967478,7.979803,57.69069
42,7.1368937,8.324155,57.68124
43,7.29949,8.577347,58.083233
44,7.4112625,8.766983,58.104275
45,7.491501,8.922937,58.423954
46,7.4837604,9.097333,58.91159
47,7.4830627,9.160502,59.619095
48,6.6822805,8.3079815,63.46567
49,6.585455,8.252481,63.921432
50,6.5954757,8.091713,64.20579
51,6.441996,7.9122887,64.85202
52,6.3384967,7.6952066,65.158615
53,6.2140102,7.586516,65.464096
54,6.103851,7.4504747,65.84746
55,6.0162945,7.2499933,66.079834
56,5.9617825,7.067793,66.169586
57,5.8418484,6.9100275,66.60935
58,5.7984467,6.745323,66.616844
59,5.7568088,6.618141,66.49888
60,5.7028284,6.572837,66.32554
61,5.680442,6.3998656,66.16603
62,5.6281843,6.383417,65.96566
63,5.587971,6.22785,65.75754
64,5.521755,6.162877,65.55199
65,5.4292035,5.997739,65.2229
66,5.381687,5.887622,65.02018
67,5.332615,5.798393,64.7964
68,5.3035383,5.7612147,64.37328
69,5.249361,5.662714,63.937798
70,5.157038,5.552285,63.864838
71,5.1403937,5.5693445,63.28872
72,5.0582504,5.4671717,63.020508
73,5.08568,5.4616632,62.632442
74,5.0164995,5.414566,62.346455
75,5.001322,5.378251,62.038967
76,4.997594,5.417074,61.860027
77,5.0555468,5.381771,61.521965
78,5.0522346,5.514474,61.279972
79,5.1880655,5.6110406,60.682777
80,5.2582846,5.7731504,60.61285
81,5.3558335,5.892742,60.327858
82,5.5455256,6.157034,60.18563
83,5.681839,6.4120226,59.78296
84,5.7786765,6.6090026,59.651817
85,5.9286995,6.7790213,59.73683
86,6.0988736,7.001549,59.45307
87,6.304802,7.325488,59.60223
88,6.4092355,7.5171046,59.631435
89,6.6191196,7.76206,59.70776
90,6.713502,7.989644,59.88885
91,6.81156,8.148543,60.396603
92,6.8963795,8.233955,60.433414
93,6.949994,8.335301,60.7871
94,6.9248066,8.446981,61.21315
95,6.914629,8.453835,61.752487
96,8.980459,10.919075,53.3029
97,8.702192,10.718365,54.280144
98,8.500034,10.331064,54.846863
99,8.242996,10.010086,55.818363
100,7.934071,9.611594,56.82047
101,7.671207,9.302114,57.817455
102,7.41527,9.076554,58.64195
103,7.2095013,8.638011,59.330063
104,7.0305634,8.441696,59.877728
105,6.8384504,8.145351,60.737377
106,6.746813,7.9978404,60.917282
107,6.7266054,7.874869,61.093616
108,6.727885,7.8634357,61.036407
109,6.794333,7.758546,60.90793
110,6.79453,7.801822,60.7167
111,6.82286,7.6731462,60.58709
112,6.8072715,7.7025557,60.297348
113,6.759727,7.579771,60.222946
114,6.6516385,7.4927864,59.919262
115,6.629487,7.281803,59.78185
116,6.531644,7.2812696,59.69058
117,6.4659543,7.0765815,59.39501
118,6.355089,6.847734,59.450603
119,6.2171745,6.7571507,58.91339
120,6.001853,6.492905,58.80102
121,5.9475784,6.3311443,58.68038
122,5.6796336,6.0808983,58.64435
123,5.499555,5.87362,58.488197
124,5.3868713,5.6667757,58.32258
125,5.2773824,5.510639,58.123302
126,5.131508,5.3862133,58.045826
127,5.0620236,5.241333,57.756306
128,5.0436563,5.2152762,57.618862
129,4.941147,5.154089,57.495785
130,4.9876323,5.170589,57.454376
131,5.0132456,5.207538,57.047184
132,5.0314894,5.3824997,56.85186
133,5.2252088,5.465106,56.753334
134,5.3675575,5.7647877,56.50693
135,5.6103697,6.0547857,56.355934
136,5.797949,6.323614,55.978817
137,6.1596537,6.6924887,55.74121
138,6.345772,7.1013846,55.758835
139,6.6082973,7.4154587,55.702736
140,6.839432,7.7996387,55.76662
141,7.002302,8.093876,55.593864
142,7.1139784,8.380192,56.043236
143,7.205497,8.604516,56.51087
144,6.77218,8.023854,57.61674
145,6.7151914,8.055815,57.756893
146,6.756324,7.97206,57.786926
147,6.7072725,7.930626,58.129467
148,6.6411257,7.8311076,58.42595
149,6.602405,7.828013,58.69961
150,6.560353,7.8531284,58.97696
151,6.536009,7.724806,59.274036
152,6.536577,7.709215,59.533825
153,6.4772406,7.6374283,60.055023
154,6.4694347,7.6015706,60.152813
155,6.465735,7.5535445,60.267242
156,6.46023,7.558831,60.414673
157,6.480811,7.525426,60.508224
158,6.461693,7.4803143,60.599915
159,6.428281,7.3919587,60.711586
160,6.399299,7.355812,60.828194
161,6.354335,7.2162447,60.89237
162,6.2742453,7.148361,60.968704
163,6.212183,7.0049596,61.08235
164,6.119363,6.968502,61.182354
165,6.031138,6.7971973,61.103195
166,5.951504,6.6349773,61.262238
167,5.859892,6.5282526,61.095955
168,5.676181,6.353194,61.17793
169,5.6676106,6.2528725,61.193665
170,5.495064,6.079499,61.088917
171,5.39013,5.9441833,61.134926
172,5.318396,5.7996426,61.01664
173,5.273618,5.6684294,60.883503
174,5.16449,5.589612,60.843422
175,5.120666,5.502759,60.52838
176,5.1006083,5.4736695,60.381424
177,5.0475655,5.4248953,60.16951
178,5.1230903,5.472166,60.040394
179,5.179613,5.5535297,59.563236
180,5.199811,5.6044636,59.262993
181,5.3059444,5.706602,59.051517
182,5.4086094,5.9047704,58.618347
183,5.561699,6.0777636,58.40554
184,5.685155,6.3008437,58.0537
185,5.9183874,6.515953,57.790882
186,6.0610495,6.7728796,57.57966
187,6.198437,6.977819,57.488888
188,6.3673487,7.2041364,57.237583
189,6.477541,7.3856306,56.995262
190,6.57726,7.6405096,57.04474
191,6.6717076,7.805664,57.196415
192,3.8426883,4.7794657,68.49635
193,3.9132395,4.966521,68.50371
194,4.145252,5.025656,68.634125
195,4.111067,5.0463834,69.02347
196,4.197979,5.0589805,69.01742
197,4.1912284,5.1721344,69.08162
198,4.265377,5.153081,69.22174
199,4.2745028,5.194227,69.13838
200,4.3825827,5.101905,69.06753
201,4.353448,5.140691,69.420715
202,4.424564,5.0968237,69.28158
203,4.439395,5.0653553,68.88458
204,4.441125,5.0803704,68.69645
205,4.452448,5.064822,68.64527
206,4.4496603,5.071627,68.354675
207,4.4353104,5.0169425,68.03223
208,4.4573226,4.9167147,67.997696
209,4.415747,4.8885407,67.422455
210,4.42046,4.803919,67.260086
211,4.4082603,4.841102,67.068634
212,4.423007,4.8588443,66.50554
213,4.386668,4.8081985,65.97349
214,4.342311,4.7302384,65.84985
215,4.35106,4.767018,65.26059
216,4.29753,4.6747313,65.066956
217,4.315256,4.6674433,64.64007
218,4.2575564,4.6550546,64.17938
219,4.2536182,4.6232467,63.955566
220,4.246109,4.6399255,63.762947
221,4.3100195,4.5564375,63.42417
222,4.2939644,4.66585,63.22648
223,4.4283333,4.771189,62.511757
224,4.472789,4.94311,62.462513
225,4.604323,5.0366774,62.198376
226,4.8195243,5.305203,62.09869
227,4.9828925,5.5665855,61.402634
228,5.0528393,5.68651,61.330826
229,5.1325674,5.8403563,61.435207
230,5.278242,6.001756,61.08469
231,5.3842974,6.2433414,61.348415
232,5.454977,6.4114428,61.408978
233,5.5509043,6.5142956,61.54717
234,5.591,6.694968,61.81014
235,5.59492,6.7096806,62.401558
236,5.592705,6.682823,62.396362
237,5.579734,6.7163286,62.90772
238,5.5560007,6.734929,63.288307
239,5.5162573,6.739394,63.823914
240,11.176523,13.4567795,51.310955
241,10.776587,13.077707,52.370705
242,10.3927765,12.605654,53.09923
243,10.04612,12.160954,54.079556
244,9.635025,11.649997,55.145264
245,9.316426,11.215883,56.19691
246,8.929984,10.9729,57.08491
247,8.687559,10.489777,58.073925
248,8.38272,10.243648,58.769592
249,8.169529,9.926337,59.749214
250,8.006489,9.660332,60.293434
251,7.9081883,9.478123,60.990383
252,7.8027544,9.399646,61.187275
253,7.8234773,9.20353,61.3023
254,7.77201,9.166722,61.644096
255,7.7831345,9.03113,61.931118
256,7.701258,9.100564,61.87668
257,7.6539598,8.918203,62.2876
258,7.6084213,8.905861,62.402405
259,7.5783467,8.717729,62.41488
260,7.519244,8.693261,62.792778
261,7.5189834,8.613829,62.68489
262,7.417502,8.4730625,62.994904
263,7.3449955,8.446044,62.780327
264,7.247631,8.338924,62.665627
265,7.2226925,8.224069,62.670082
266,7.0948834,8.082525,62.83163
267,6.985954,7.911415,62.75867
268,6.9206886,7.7789397,62.535027
269,6.855581,7.7420135,62.409027
270,6.754035,7.698378,62.328667
271,6.6845655,7.552849,62.129826
272,6.6598663,7.4131823,61.987526
273,6.5120926,7.3127775,61.774883
274,6.4752374,7.2658105,61.494625
275,6.409454,7.2101107,61.46511
276,6.422593,7.3182554,60.960938
277,6.554445,7.317994,60.69566
278,6.6642838,7.4904118,60.490982
279,6.9211617,7.710128,59.977196
280,7.028878,7.871649,59.370815
281,7.379283,8.228669,58.959164
282,7.5332036,8.500942,58.625195
283,7.787011,8.8738165,58.14402
284,8.037038,9.171255,58.09187
285,8.229421,9.470008,57.477352
286,8.343597,9.776782,57.563515
287,8.436024,9.9669485,57.776176
288,13.049293,16.311806,39.53088
289,12.912621,15.860828,40.453514
290,12.516832,15.619431,40.364197
291,12.5309105,15.397226,40.26207
292,12.378994,15.196863,40.49527
293,12.424813,14.939373,40.43434
294,12.275158,14.913416,40.52983
295,12.313822,14.61795,40.92746
296,12.212492,14.756832,40.57637
297,12.185406,14.44147,39.889214
298,12.065,14.605085,39.885986
299,12.16114,14.581078,39.896072
300,12.193509,14.450058,39.692028
301,12.200064,14.252667,38.70429
302,12.095663,14.188246,38.59862
303,12.007469,13.865034,38.534798
304,11.729209,13.860516,38.145855
305,11.550473,13.508633,38.791595
306,11.280661,13.230627,38.295906
307,11.108396,12.719341,38.330452
308,10.726991,12.393469,38.598103
309,10.435585,11.988678,39.155846
310,10.185756,11.619854,38.847534
311,9.863344,11.235225,39.433674
312,9.568903,10.986836,39.246826
313,9.332567,10.717068,39.751274
314,9.12745,10.271855,40.08687
315,8.957693,10.022061,40.136215
316,8.851442,9.937382,40.241657
317,8.714954,10.039111,40.4952
318,8.753875,9.93687,40.548943
319,8.769938,9.881931,41.094765
320,8.814393,10.038866,40.845543
321,8.865444,10.166468,40.90298
322,8.900882,10.311188,40.902065
323,9.038221,10.435618,41.698875
324,9.287862,10.813914,41.615562
325,9.595436,11.1083355,41.414833
326,9.787615,11.542796,41.653587
327,10.076297,11.802962,41.392555
328,10.342797,12.073269,41.88447
329,10.584557,12.519971,42.076298
330,10.710056,12.636667,42.159004
331,10.866907,12.954138,42.574196
332,10.886723,13.11235,42.908897
333,10.912324,13.070715,43.45543
334,10.810087,13.240756,43.896233
335,10.860486,13.225214,44.307404
336,16.826479,20.656021,23.170765
337,16.574745,20.016586,24.215347
338,15.9392185,19.680931,24.062927
339,15.937994,19.38649,23.85889
340,15.628418,19.071068,24.444016
341,15.629318,18.671665,24.642033
342,15.360397,18.703966,24.917791
343,15.341305,18.234783,25.88577
344,15.0802555,18.457438,25.935205
345,15.00876,17.946877,25.320831
346,14.727427,18.112934,25.769888
347,14.77199,18.039402,26.408678
348,14.762075,17.781223,26.742834
349,14.723398,17.506401,25.88537
350,14.556622,17.331335,26.339722
351,14.445929,16.937265,26.67952
352,14.083039,16.959488,26.448858
353,13.882772,16.469542,27.860956
354,13.521044,16.139267,27.532547
355,13.318055,15.44238,27.765472
356,12.830456,15.096073,28.627092
357,12.508628,14.5447235,29.573017
358,12.278425,14.195992,29.433493
359,11.900078,13.69498,30.402151
360,11.538308,13.450899,30.349943
