,NO2,NOX,O3
0,8.15,9.12,58.03
1,8.59,9.66,58.25
2,8.95,10.84,57.74
3,7.73,9.07,59.37
4,6.6,7.38,60.93
5,6.01,6.62,61.67
6,7.19,8.4,61.27
7,7.21,7.92,60.11
8,7.73,8.97,59.53
9,8.66,9.64,57.94
10,9.54,11.32,56.94
11,8.85,9.6,57.98
12,7.1,8.59,59.57
13,5.37,6.08,60.63
14,6.29,7.61,59.03
15,5.81,6.46,59.47
16,5.37,6.25,59.99
17,3.96,4.3,61.33
18,4.28,4.48,61.53
19,3.19,3.21,63.1
20,3.1,3.5,62.96
21,2.79,3.0,62.25
22,3.19,3.35,61.01
23,2.79,2.68,61.13
24,3.14,3.06,60.27
25,3.06,3.39,59.65
26,2.1,1.93,61.67
27,1.59,1.32,68.84
28,1.13,1.22,68.11
29,1.47,1.32,68.43
30,1.13,1.22,68.3
31,1.51,1.28,66.89
32,1.59,1.49,66.66
33,1.59,1.28,66.43
34,1.4,0.54,67.16
35,1.78,1.63,64.75
36,1.66,1.05,70.05
37,4.28,3.88,69.21
38,3.72,3.6,68.93
39,3.16,3.31,68.65
40,4.15,4.4,67.21
41,3.52,3.35,66.15
42,7.48,9.2,62.09
43,8.43,9.52,61.01
44,8.8,9.68,60.09
45,6.1,7.04,63.02
46,6.52,7.32,62.17
47,6.94,7.98,60.47
48,5.01,5.83,63.48
49,6.27,7.15,61.33
50,6.08,7.17,62.78
51,5.57,6.71,64.24
52,5.34,6.1,63.12
53,4.46,5.45,66.66
54,4.69,5.79,66.64
55,4.19,4.72,67.93
56,5.24,6.06,66.32
57,4.65,5.39,66.9
58,6.48,7.13,63.86
59,5.37,5.55,64.54
60,6.56,7.23,63.12
61,5.72,6.69,64.0
62,7.13,8.45,62.17
63,5.99,6.92,63.0
64,8.17,8.22,60.53
65,6.22,6.5,61.35
66,5.28,5.79,64.18
67,5.26,6.25,64.34
68,5.37,5.83,64.56
69,4.51,4.69,65.58
70,4.61,5.18,65.68
71,3.92,4.4,66.6
72,4.38,4.65,65.88
73,4.92,5.09,65.32
74,4.19,4.51,65.16
75,3.46,3.37,66.06
76,2.54,2.52,67.41
77,3.33,3.27,66.52
78,1.89,1.97,67.63
79,1.72,1.8,66.89
80,1.66,2.01,65.26
81,3.29,3.65,63.14
82,1.82,2.18,61.82
83,3.48,3.54,60.49
84,5.49,5.85,56.9
85,4.38,4.65,54.64
86,4.9,4.93,52.85
87,5.64,5.95,51.81
88,6.81,7.1,50.44
89,7.98,8.24,49.07
90,13.54,15.93,43.67
91,20.22,33.18,31.21
92,16.85,19.11,38.92
93,13.75,15.19,40.99
94,12.34,13.46,43.07
95,13.88,17.31,41.71
96,11.17,12.81,44.88
97,9.89,11.67,44.07
98,9.96,11.84,43.31
99,8.64,9.62,44.62
100,10.46,12.22,43.83
101,10.06,12.47,44.01
102,8.82,10.92,43.21
103,10.38,12.6,41.57
